KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
451060,55.47,124.64,20260102,20250812,20260811
491610,1.64,1.96,20260102,20250812,20260811
0103T0,-11.47,,20260102,20250812,20260811
463290,1.72,0.95,20260102,20250812,20260811
0131W0,1.63,,20260102,20250812,20260811
479080,1.94,2.12,20260102,20250812,20260811
0026S0,10.37,23.02,20260102,20250812,20260811
0052S0,4.25,12.57,20260102,20250812,20260811
0069M0,14.02,27.57,20260102,20250812,20260811
0111P0,6.43,,20260102,20250812,20260811
0083S0,-9.07,5.67,20260102,20250812,20260811
0004G0,6.31,4.56,20260102,20250812,20260811
0131V0,-3.21,,20260102,20250812,20260811
0094X0,-14.11,,20260102,20250812,20260811
0017Y0,-4.52,-7.77,20260102,20250812,20260811
0052T0,1.19,0.66,20260102,20250812,20260811
495330,66.01,142.28,20260102,20250812,20260811
492500,0.43,-0.8,20260102,20250812,20260811
473440,1.74,1.17,20260102,20250812,20260811
105190,57.74,128.43,20260102,20250812,20260811
332500,59.77,131.94,20260102,20250812,20260811
475260,1.66,1.42,20260102,20250812,20260811
385600,47.36,73.46,20260102,20250812,20260811
475270,1.81,1.42,20260102,20250812,20260811
475280,1.9,1.47,20260102,20250812,20260811
469150,80.73,236.7,20260102,20250812,20260811
0079X0,-15.89,0.38,20260102,20250812,20260811
385590,58.66,123.55,20260102,20250812,20260811
226380,-9.81,-16.44,20260102,20250812,20260811
475050,-42.54,-45.6,20260102,20250812,20260811
411060,-4.63,32.8,20260102,20250812,20260811
291130,6.79,26.98,20260102,20250812,20260811
256440,-37.65,-37.94,20260102,20250812,20260811
261920,-3.4,-3.36,20260102,20250812,20260811
0139P0,24.03,,20260102,20250812,20260811
225130,-13.15,38.14,20260102,20250812,20260811
483340,49.97,92.35,20260102,20250812,20260811
365780,-4.24,-10.24,20260102,20250812,20260811
114460,-1.33,-3.2,20260102,20250812,20260811
494340,62.86,62.92,20260102,20250812,20260811
446770,60.56,145.18,20260102,20250812,20260811
435040,-0.4,13.17,20260102,20250812,20260811
497510,8.3,41.45,20260102,20250812,20260811
460960,-1.04,4.91,20260102,20250812,20260811
414270,-4.36,5.8,20260102,20250812,20260811
440640,1.87,1.23,20260102,20250812,20260811
190620,1.45,-0.28,20260102,20250812,20260811
494330,95.92,128.76,20260102,20250812,20260811
265690,0.0,0.0,20260102,20250812,20260811
152500,85.37,273.11,20260102,20250812,20260811
483330,22.35,19.32,20260102,20250812,20260811
487340,2.04,1.74,20260102,20250812,20260811
0085P0,-5.1,-1.08,20260102,20250812,20260811
0085N0,-3.81,-4.28,20260102,20250812,20260811
452250,-11.64,-14.3,20260102,20250812,20260811
476760,-7.52,-4.61,20260102,20250812,20260811
453850,-6.25,-7.59,20260102,20250812,20260811
476750,-10.77,-13.77,20260102,20250812,20260811
480030,-2.42,2.14,20260102,20250812,20260811
0118Z0,10.19,,20260102,20250812,20260811
280320,6.1,3.9,20260102,20250812,20260811
360200,10.35,23.59,20260102,20250812,20260811
438080,5.08,10.8,20260102,20250812,20260811
309230,4.7,19.81,20260102,20250812,20260811
367380,14.13,27.96,20260102,20250812,20260811
438100,7.2,13.54,20260102,20250812,20260811
456880,0.16,5.66,20260102,20250812,20260811
440650,-0.17,2.06,20260102,20250812,20260811
0127M0,21.01,,20260102,20250812,20260811
0127P0,7.94,,20260102,20250812,20260811
480040,27.61,59.11,20260102,20250812,20260811
402970,20.81,29.5,20260102,20250812,20260811
0046Y0,10.13,20.11,20260102,20250812,20260811
0049M0,2.78,10.64,20260102,20250812,20260811
0049K0,4.41,9.13,20260102,20250812,20260811
181480,6.11,4.65,20260102,20250812,20260811
480020,-12.03,-3.02,20260102,20250812,20260811
465580,11.71,29.67,20260102,20250812,20260811
465610,16.72,52.33,20260102,20250812,20260811
465620,-13.89,-29.14,20260102,20250812,20260811
473590,-7.95,2.33,20260102,20250812,20260811
