KRX코드,ISIN,종목명,운용사,총보수,시가총액,종가,NAV,상장일,자산분류,시장분류,운용방식,과세유형,기초지수명,투자지역,테마섹터,전략,기준일자
0193M0,KR70193M0005,BNK 27-12 특수채(AAA이상)액티브,비엔케이자산운용,0.07,106471610000,50365,50315.64,2026-06-16,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 27-12 특수채 총수익 지수(AAA이상),한국,채권·금리,일반,20260806
466810,KR7466810009,BNK 2차전지양극재,비엔케이자산운용,0.395,7554500000,5210,5205.23,2023-10-19,주식,국내,실물(패시브),비과세,iSelect 2차전지양극재 지수,한국,2차전지,일반,20260806
457930,KR7457930006,BNK 미래전략기술액티브,비엔케이자산운용,0.495,7962000000,26540,26379.89,2023-06-20,주식,국내,실물(액티브),배당소득세(보유기간과세),iSelect 미래전략기술 지수 (PR),한국,기타,일반,20260806
0218K0,KR70218K0008,BNK 스마트카,비엔케이자산운용,0.45,7672500000,10230,10223.91,2026-07-21,주식,국내,실물(패시브),비과세,FnGuide 스마트카 지수,한국,자동차,일반,20260806
487750,KR7487750002,BNK 온디바이스AI,비엔케이자산운용,0.395,10818000000,27045,27036.34,2024-07-23,주식,국내,실물(패시브),비과세,FnGuide 온디바이스AI 지수,한국,AI·테크,일반,20260806
445690,KR7445690001,BNK 주주가치액티브,비엔케이자산운용,0.495,17484000000,29140,29004.11,2022-10-27,주식,국내,실물(액티브),배당소득세(보유기간과세),FnGuide 주주가치 지수,한국,배당주,일반,20260806
0120J0,KR70120J0008,BNK 카카오그룹포커스,비엔케이자산운용,0.395,9887500000,7910,7941.1,2025-12-02,주식,국내,실물(패시브),비과세,FnGuide 카카오그룹 포커스 지수,한국,개별종목,일반,20260806
0112X0,KR70112X0000,마이티 200TR,디비자산운용,0.05,33232500000,36925,37104.99,2025-10-28,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 TR,한국,광범위지수,일반,20260806
465780,KR7465780005,마이티 26-09 특수채(AAA)액티브,디비자산운용,0.06,102280230000,106210,106197.62,2023-09-21,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 26-09 특수채 지수(총수익),한국,채권·금리,일반,20260806
0191M0,KR70191M0007,마이티 5월만기자동연장특수채(AAA)액티브,디비자산운용,0.06,41638050000,100575,100551.5,2026-06-02,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 5월 만기자동연장 특수채(AAA) 총수익 지수,한국,채권·금리,일반,20260806
0222F0,KR70222F0009,마이티 AI데이터센터밸류체인,디비자산운용,0.365,9576000000,11970,11927.64,2026-08-04,주식,국내,실물(패시브),비과세,KAP AI데이터센터밸류체인지수,한국,AI·테크,일반,20260806
442260,KR7442260006,마이티 다이나믹퀀트액티브,디비자산운용,0.295,42184800000,34020,34219.02,2022-10-25,주식,국내,실물(액티브),배당소득세(보유기간과세),코스피 200,한국,광범위지수,일반,20260806
0001P0,KR70001P0004,마이티 바이오시밀러&CDMO액티브,디비자산운용,0.805,10617600000,9480,9464.98,2024-12-24,주식,국내,실물(액티브),배당소득세(보유기간과세),FnGuide 바이오시밀러&CDMO 지수,한국,바이오·헬스케어,일반,20260806
159800,KR7159800002,마이티 코스피100,디비자산운용,0.375,21882000000,78150,78396.82,2012-07-05,주식,국내,실물(패시브),비과세,코스피 100,한국,광범위지수,일반,20260806
472840,KR7472840008,IBK 200,아이비케이자산운용,0.08,36776250000,98070,98277.62,2023-12-21,주식,국내,실물(패시브),비과세,코스피 200,한국,광범위지수,일반,20260806
0005G0,KR70005G0001,IBK K-AI반도체코어테크,아이비케이자산운용,0.28,152317500000,44150,44223.29,2025-01-21,주식,국내,실물(패시브),비과세,FnGuide K-AI반도체 코어테크 지수,한국,반도체,일반,20260806
0178H0,KR70178H0001,IBK 미국AI TOP10국채혼합50,아이비케이자산운용,0.25,46500000000,10000,10050.32,2026-04-28,혼합자산,국내&해외,실물(패시브),배당소득세(보유기간과세),FnGuide 미국AI TOP10국채혼합 지수,미국,AI·테크,혼합,20260806
0135Y0,KR70135Y0002,IBK 중기종합채권(AA-이상)액티브,아이비케이자산운용,0.041,114313980000,100540,100426.72,2025-12-16,채권,국내,실물(액티브),배당소득세(보유기간과세),"KIS 중기종합채권 (1~5Y, AA-이상, 총수익)",한국,채권·금리,일반,20260806
0221V0,KR70221V0000,IBK 초단기채권액티브,아이비케이자산운용,0.05,102093610000,100190,100182.36,2026-07-21,채권,국내,실물(액티브),배당소득세(보유기간과세),KIS 단기자금 총수익지수,한국,채권·금리,일반,20260806
0191S0,KR70191S0001,IBK 코스닥150,아이비케이자산운용,0.105,10149100000,13715,13752.9,2026-05-19,주식,국내,실물(패시브),비과세,코스닥 150,한국,광범위지수,일반,20260806
0208N0,KR70208N0007,IBK 코스피액티브,아이비케이자산운용,0.415,11228250000,6805,6831.73,2026-06-23,주식,국내,실물(액티브),배당소득세(보유기간과세),코스피,한국,광범위지수,일반,20260806
361580,KR7361580004,RISE 200TR,케이비자산운용,0.012,450120000000,56265,56154.69,2020-08-21,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 TR,한국,광범위지수,일반,20260806
290080,KR7290080001,RISE 200고배당커버드콜ATM,케이비자산운용,0.4,12722500000,7270,7335.19,2018-02-27,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 고배당커버드콜 ATM 지수(시장가격지수),한국,배당주,커버드콜,20260806
284980,KR7284980000,RISE 200금융,케이비자산운용,0.19,18220400000,22220,22328.56,2017-12-08,주식,국내,실물(패시브),비과세,코스피 200 금융,한국,금융,일반,20260806
252400,KR7252400007,RISE 200선물레버리지,케이비자산운용,0.022,59927000000,85610,84617.4,2016-09-12,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260806
252420,KR7252420005,RISE 200선물인버스2X,케이비자산운용,0.022,5189600000,104,102.42,2016-09-22,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260806
252410,KR7252410006,RISE 200선물인버스,케이비자산운용,0.022,2936000000,1468,1472.12,2016-09-12,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 선물지수,한국,광범위지수,일반,20260806
475720,KR7475720009,RISE 200위클리커버드콜,케이비자산운용,0.3,763344000000,11780,11821.99,2024-03-05,주식,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 위클리 커버드콜 ATM 지수,한국,광범위지수,커버드콜,20260806
148020,KR7148020001,RISE 200,케이비자산운용,0.017,4227280000000,99700,99499.08,2011-10-20,주식,국내,실물(패시브),비과세,코스피 200,한국,광범위지수,일반,20260806
183700,KR7183700004,RISE 200채권혼합50,케이비자산운용,0.2,38796240000,92372,92243.08,2013-10-17,혼합자산,국내,실물(패시브),배당소득세(보유기간과세),코스피 200 KTB 혼합지수,한국,채권·금리,혼합,20260806
0122W0,KR70122W0009,RISE 26-11 회사채(AA-이상)액티브,케이비자산운용,0.05,113721770000,50905,50884.82,2025-11-18,채권,국내,실물(액티브),배당소득세(보유기간과세),KAP 26-11 회사채(AA-이상) 총수익지수,한국,채권·금리,일반,20260806
465330,KR7465330009,RISE 2차전지TOP10,케이비자산운용,0.07,57142500000,10025,10075.07,2023-09-12,주식,국내,실물(패시브),비과세,iSelect 2차전지 TOP10 지수(PR),한국,2차전지,일반,20260806
465350,KR7465350007,RISE 2차전지TOP10인버스(합성),케이비자산운용,0.49,38000000000,19000,19022.02,2023-09-12,주식,국내,합성(패시브),배당소득세(보유기간과세),iSelect 2차전지 TOP10 지수(PR),한국,2차전지,일반,20260806
422420,KR7422420000,RISE 2차전지액티브,케이비자산운용,0.35,191400000000,6000,5995.39,2022-04-08,주식,국내,실물(액티브),배당소득세(보유기간과세),iSelect 2차전지 지수 (시장가격지수),한국,2차전지,일반,20260806
105780,KR7105780001,RISE 5대그룹주,케이비자산운용,0.4,31450000000,15725,15745.46,2008-10-22,주식,국내,실물(패시브),비과세,MKF 5대그룹주,한국,광범위지수,일반,20260806
469070,KR7469070007,RISE AI&로봇,케이비자산운용,0.4,386448000000,11640,11642.0,2023-10-24,주식,국내,실물(패시브),비과세,iSelect AI&로봇 지수(시장가격),한국,AI·테크,일반,20260806
0093A0,KR70093A0000,RISE AI반도체TOP10,케이비자산운용,0.2,154040250000,27755,27747.39,2025-08-26,주식,국내,실물(패시브),비과세,FnGuide AI반도체TOP10 지수,한국,반도체,일반,20260806
0101N0,KR70101N0005,RISE AI전력인프라,케이비자산운용,0.2,578877750000,18465,18401.07,2025-09-23,주식,국내,실물(패시브),비과세,KRX-Akros AI 전력인프라 지수,한국,AI·테크,일반,20260806
427120,KR7427120001,RISE AI플랫폼,케이비자산운용,0.45,3438600000,5210,5210.3,2022-05-17,주식,국내,실물(패시브),비과세,FnGuide AI 플랫폼 지수,한국,AI·테크,일반,20260806
