KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
451060,54.05,122.27,20260102,20250808,20260807
491610,1.63,1.95,20260102,20250808,20260807
0103T0,-15.76,,20260102,20250808,20260807
463290,1.69,0.94,20260102,20250808,20260807
0131W0,1.61,,20260102,20250808,20260807
479080,1.91,2.11,20260102,20250808,20260807
0026S0,9.91,23.26,20260102,20250808,20260807
0052S0,3.98,12.77,20260102,20250808,20260807
0069M0,13.33,27.49,20260102,20250808,20260807
0111P0,6.09,,20260102,20250808,20260807
0083S0,-15.21,-1.87,20260102,20250808,20260807
0004G0,6.25,4.91,20260102,20250808,20260807
0131V0,-8.93,,20260102,20250808,20260807
0094X0,-13.11,,20260102,20250808,20260807
0017Y0,-4.14,-7.43,20260102,20250808,20260807
0052T0,1.18,0.63,20260102,20250808,20260807
495330,64.69,141.9,20260102,20250808,20260807
492500,0.5,-0.77,20260102,20250808,20260807
473440,1.83,1.12,20260102,20250808,20260807
105190,56.08,125.41,20260102,20250808,20260807
332500,57.87,128.5,20260102,20250808,20260807
475260,1.66,1.37,20260102,20250808,20260807
385600,45.84,74.27,20260102,20250808,20260807
475270,1.81,1.47,20260102,20250808,20260807
475280,1.81,1.37,20260102,20250808,20260807
469150,70.68,221.88,20260102,20250808,20260807
0079X0,-15.97,3.06,20260102,20250808,20260807
385590,57.47,121.2,20260102,20250808,20260807
226380,-10.25,-18.1,20260102,20250808,20260807
475050,-42.86,-44.19,20260102,20250808,20260807
411060,-6.69,27.12,20260102,20250808,20260807
291130,5.99,25.57,20260102,20250808,20260807
256440,-36.26,-34.47,20260102,20250808,20260807
261920,-2.74,-3.55,20260102,20250808,20260807
0139P0,23.25,,20260102,20250808,20260807
225130,-15.82,26.94,20260102,20250808,20260807
483340,50.59,93.87,20260102,20250808,20260807
365780,-3.55,-9.8,20260102,20250808,20260807
114460,-1.21,-3.14,20260102,20250808,20260807
494340,66.37,66.31,20260102,20250808,20260807
446770,60.29,145.16,20260102,20250808,20260807
435040,-1.4,13.19,20260102,20250808,20260807
497510,5.69,39.22,20260102,20250808,20260807
460960,-1.34,4.83,20260102,20250808,20260807
414270,-5.47,5.87,20260102,20250808,20260807
440640,1.84,1.21,20260102,20250808,20260807
190620,1.44,-0.28,20260102,20250808,20260807
494330,94.3,125.32,20260102,20250808,20260807
265690,0.0,0.0,20260102,20250808,20260807
152500,81.37,261.34,20260102,20250808,20260807
483330,19.17,14.98,20260102,20250808,20260807
487340,2.02,1.74,20260102,20250808,20260807
0085P0,-4.77,-0.98,20260102,20250808,20260807
0085N0,-3.51,-4.08,20260102,20250808,20260807
452250,-10.8,-14.41,20260102,20250808,20260807
476760,-6.86,-4.08,20260102,20250808,20260807
453850,-5.72,-7.37,20260102,20250808,20260807
476750,-9.71,-13.53,20260102,20250808,20260807
480030,-2.6,2.65,20260102,20250808,20260807
0118Z0,6.77,,20260102,20250808,20260807
280320,3.5,0.16,20260102,20250808,20260807
360200,9.79,23.63,20260102,20250808,20260807
438080,4.87,10.69,20260102,20250808,20260807
309230,2.95,16.94,20260102,20250808,20260807
