KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
451060,54.07,121.83,20260102,20250811,20260810
491610,1.63,1.95,20260102,20250811,20260810
0103T0,-14.89,,20260102,20250811,20260810
463290,1.7,0.93,20260102,20250811,20260810
0131W0,1.63,,20260102,20250811,20260810
479080,1.93,2.12,20260102,20250811,20260810
0026S0,10.62,23.19,20260102,20250811,20260810
0052S0,4.46,12.81,20260102,20250811,20260810
0069M0,14.8,28.15,20260102,20250811,20260810
0111P0,6.86,,20260102,20250811,20260810
0083S0,-10.68,3.48,20260102,20250811,20260810
0004G0,6.87,5.28,20260102,20250811,20260810
0131V0,-2.94,,20260102,20250811,20260810
0094X0,-12.96,,20260102,20250811,20260810
0017Y0,-4.14,-7.43,20260102,20250811,20260810
0052T0,1.21,0.67,20260102,20250811,20260810
495330,66.23,142.6,20260102,20250811,20260810
492500,0.5,-0.77,20260102,20250811,20260810
473440,1.79,1.22,20260102,20250811,20260810
105190,56.08,125.36,20260102,20250811,20260810
332500,57.63,128.15,20260102,20250811,20260810
475260,1.66,1.42,20260102,20250811,20260810
385600,49.87,76.04,20260102,20250811,20260810
475270,1.81,1.42,20260102,20250811,20260810
475280,1.81,1.32,20260102,20250811,20260810
469150,76.11,226.51,20260102,20250811,20260810
0079X0,-14.94,2.09,20260102,20250811,20260810
385590,57.8,121.32,20260102,20250811,20260810
226380,-10.4,-17.96,20260102,20250811,20260810
475050,-41.67,-45.96,20260102,20250811,20260810
411060,-5.09,30.92,20260102,20250811,20260810
291130,6.93,27.15,20260102,20250811,20260810
256440,-36.26,-34.82,20260102,20250811,20260810
261920,-2.67,-2.81,20260102,20250811,20260810
0139P0,23.53,,20260102,20250811,20260810
225130,-14.35,33.53,20260102,20250811,20260810
483340,52.93,95.17,20260102,20250811,20260810
365780,-3.8,-9.94,20260102,20250811,20260810
114460,-1.2,-3.09,20260102,20250811,20260810
494340,69.53,68.99,20260102,20250811,20260810
446770,62.48,148.0,20260102,20250811,20260810
435040,-0.88,13.11,20260102,20250811,20260810
497510,6.26,39.53,20260102,20250811,20260810
460960,-0.65,5.47,20260102,20250811,20260810
414270,-3.39,6.73,20260102,20250811,20260810
440640,1.85,1.22,20260102,20250811,20260810
190620,1.44,-0.28,20260102,20250811,20260810
494330,94.3,126.46,20260102,20250811,20260810
265690,0.0,0.0,20260102,20250811,20260810
152500,81.59,261.95,20260102,20250811,20260810
483330,21.4,17.43,20260102,20250811,20260810
487340,2.02,1.73,20260102,20250811,20260810
0085P0,-4.49,-0.54,20260102,20250811,20260810
0085N0,-3.41,-3.98,20260102,20250811,20260810
452250,-10.61,-13.77,20260102,20250811,20260810
476760,-6.55,-3.72,20260102,20250811,20260810
453850,-5.33,-6.92,20260102,20250811,20260810
476750,-9.24,-12.93,20260102,20250811,20260810
480030,-2.05,2.58,20260102,20250811,20260810
0118Z0,11.69,,20260102,20250811,20260810
280320,4.76,1.41,20260102,20250811,20260810
360200,10.59,23.8,20260102,20250811,20260810
438080,5.19,10.91,20260102,20250811,20260810
309230,4.34,18.39,20260102,20250811,20260810
367380,14.84,28.55,20260102,20250811,20260810
438100,7.54,13.98,20260102,20250811,20260810
456880,0.28,5.92,20260102,20250811,20260810
440650,-0.04,2.41,20260102,20250811,20260810
0127M0,20.38,,20260102,20250811,20260810
0127P0,8.63,,20260102,20250811,20260810
480040,30.73,62.59,20260102,20250811,20260810
402970,20.19,28.51,20260102,20250811,20260810
