ISIN,기준일,섹터코드,섹터명,ETF비중,시장비중,시장대비,종목명_세이브로
KR70193M0005,,FGSC.10,에너지,,,,
KR70193M0005,,FGSC.15,소재,,,,
KR70193M0005,,FGSC.20,산업재,,,,
KR70193M0005,,FGSC.25,경기소비재,,,,
KR70193M0005,,FGSC.30,필수소비재,,,,
KR70193M0005,,FGSC.35,의료,,,,
KR70193M0005,,FGSC.40,금융,,,,
KR70193M0005,,FGSC.45,IT,,,,
KR70193M0005,,FGSC.50,통신서비스,,,,
KR70193M0005,,FGSC.55,유틸리티,,,,
KR7466810009,20260813,FGSC.10,에너지,11.2745,2,9.27,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,20260813,FGSC.15,소재,41.8214,2.8,39.02,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,,FGSC.20,산업재,,,,
KR7466810009,,FGSC.25,경기소비재,,,,
KR7466810009,,FGSC.30,필수소비재,,,,
KR7466810009,,FGSC.35,의료,,,,
KR7466810009,,FGSC.40,금융,,,,
KR7466810009,20260813,FGSC.45,IT,46.9043,59.71,-12.81,BNK BNK2차전지양극재증권상장지수투자신탁(주식)
KR7466810009,,FGSC.50,통신서비스,,,,
KR7466810009,,FGSC.55,유틸리티,,,,
KR7457930006,20260813,FGSC.10,에너지,.9819,2,-1.02,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.15,소재,1.7111,2.8,-1.09,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.20,산업재,23.3815,13.59,9.79,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.25,경기소비재,13.3698,6.12,7.25,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.30,필수소비재,,,,
KR7457930006,20260813,FGSC.35,의료,12.6004,5.15,7.45,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.40,금융,,,,
KR7457930006,20260813,FGSC.45,IT,41.8963,59.71,-17.81,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,20260813,FGSC.50,통신서비스,6.0592,.66,5.4,BNK BNK미래전략기술액티브 증권상장지수투자신탁(주식)
KR7457930006,,FGSC.55,유틸리티,,,,
KR70218K0008,,FGSC.10,에너지,,,,
KR70218K0008,,FGSC.15,소재,,,,
KR70218K0008,20260813,FGSC.20,산업재,2.3098,13.59,-11.28,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,20260813,FGSC.25,경기소비재,60.1583,6.12,54.04,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,,FGSC.30,필수소비재,,,,
KR70218K0008,,FGSC.35,의료,,,,
KR70218K0008,,FGSC.40,금융,,,,
KR70218K0008,20260813,FGSC.45,IT,37.5319,59.71,-22.18,BNK BNK 스마트카증권상장지수투자신탁(주식)
KR70218K0008,,FGSC.50,통신서비스,,,,
KR70218K0008,,FGSC.55,유틸리티,,,,
KR7487750002,,FGSC.10,에너지,,,,
KR7487750002,,FGSC.15,소재,,,,
KR7487750002,,FGSC.20,산업재,,,,
KR7487750002,,FGSC.25,경기소비재,,,,
KR7487750002,,FGSC.30,필수소비재,,,,
KR7487750002,,FGSC.35,의료,,,,
KR7487750002,,FGSC.40,금융,,,,
KR7487750002,20260813,FGSC.45,IT,100,59.71,40.29,BNK BNK온디바이스AI증권상장지수투자신탁(주식)
KR7487750002,,FGSC.50,통신서비스,,,,
KR7487750002,,FGSC.55,유틸리티,,,,
KR7445690001,20260813,FGSC.10,에너지,1.4065,2,-.6,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.15,소재,3.715,2.8,.91,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.20,산업재,11.7873,13.59,-1.8,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.25,경기소비재,20.4707,6.12,14.36,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.30,필수소비재,2.1589,1.91,.25,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.35,의료,3.4947,5.15,-1.66,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.40,금융,10.9985,7.56,3.44,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,20260813,FGSC.45,IT,44.903,59.71,-14.81,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR7445690001,,FGSC.50,통신서비스,,,,
KR7445690001,20260813,FGSC.55,유틸리티,1.0653,.5,.57,BNK BNK주주가치액티브 증권상장지수투자신탁(주식)
KR70120J0008,,FGSC.10,에너지,,,,
KR70120J0008,,FGSC.15,소재,,,,
KR70120J0008,,FGSC.20,산업재,,,,
KR70120J0008,20260813,FGSC.25,경기소비재,16.5274,6.12,10.41,BNK BNK 카카오그룹포커스증권상장지수투자신탁(주식)
KR70120J0008,,FGSC.30,필수소비재,,,,
KR70120J0008,,FGSC.35,의료,,,,
KR70120J0008,20260813,FGSC.40,금융,48.8714,7.56,41.31,BNK BNK 카카오그룹포커스증권상장지수투자신탁(주식)
KR70120J0008,20260813,FGSC.45,IT,34.6013,59.71,-25.11,BNK BNK 카카오그룹포커스증권상장지수투자신탁(주식)
KR70120J0008,,FGSC.50,통신서비스,,,,
KR70120J0008,,FGSC.55,유틸리티,,,,
KR70112X0000,20260813,FGSC.10,에너지,1.3558,2,-.65,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.15,소재,2.0753,2.8,-.73,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.20,산업재,10.7676,13.59,-2.82,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.25,경기소비재,5.2701,6.12,-.85,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.30,필수소비재,1.5635,1.91,-.34,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.35,의료,1.975,5.15,-3.18,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.40,금융,7.7756,7.56,.22,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.45,IT,67.9961,59.71,8.29,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.50,통신서비스,.826,.66,.16,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR70112X0000,20260813,FGSC.55,유틸리티,.3945,.5,-.1,DB마이티200TotalReturn증권상장지수투자신탁[주식]
KR7465780005,,FGSC.10,에너지,,,,
KR7465780005,,FGSC.15,소재,,,,
KR7465780005,,FGSC.20,산업재,,,,
KR7465780005,,FGSC.25,경기소비재,,,,
KR7465780005,,FGSC.30,필수소비재,,,,
KR7465780005,,FGSC.35,의료,,,,
KR7465780005,,FGSC.40,금융,,,,
KR7465780005,,FGSC.45,IT,,,,
KR7465780005,,FGSC.50,통신서비스,,,,
KR7465780005,,FGSC.55,유틸리티,,,,
KR70191M0007,,FGSC.10,에너지,,,,
KR70191M0007,,FGSC.15,소재,,,,
KR70191M0007,,FGSC.20,산업재,,,,
KR70191M0007,,FGSC.25,경기소비재,,,,
KR70191M0007,,FGSC.30,필수소비재,,,,
KR70191M0007,,FGSC.35,의료,,,,
KR70191M0007,,FGSC.40,금융,,,,
KR70191M0007,,FGSC.45,IT,,,,
KR70191M0007,,FGSC.50,통신서비스,,,,
KR70191M0007,,FGSC.55,유틸리티,,,,
KR70222F0009,20260813,FGSC.10,에너지,1.9781,2,-.02,DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식]
KR70222F0009,,FGSC.15,소재,,,,
KR70222F0009,20260813,FGSC.20,산업재,32.581,13.59,18.99,DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식]
KR70222F0009,20260813,FGSC.25,경기소비재,7.9968,6.12,1.88,DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식]
KR70222F0009,,FGSC.30,필수소비재,,,,
KR70222F0009,,FGSC.35,의료,,,,
KR70222F0009,,FGSC.40,금융,,,,
KR70222F0009,20260813,FGSC.45,IT,52.6073,59.71,-7.1,DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식]
KR70222F0009,20260813,FGSC.50,통신서비스,4.8369,.66,4.17,DB마이티AI데이터센터밸류체인증권상장지수투자신탁[주식]
KR70222F0009,,FGSC.55,유틸리티,,,,
KR7442260006,20260813,FGSC.10,에너지,2.4682,2,.47,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.15,소재,2.549,2.8,-.25,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.20,산업재,7.3198,13.59,-6.27,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.25,경기소비재,5.2674,6.12,-.85,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.30,필수소비재,.3059,1.91,-1.6,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.35,의료,.6151,5.15,-4.54,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.40,금융,6.6281,7.56,-.93,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,20260813,FGSC.45,IT,56.3398,59.71,-3.37,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR7442260006,,FGSC.50,통신서비스,,,,
KR7442260006,20260813,FGSC.55,유틸리티,1.1888,.5,.69,DB마이티다이나믹퀀트액티브증권상장지수투자신탁[주식]
KR70001P0004,,FGSC.10,에너지,,,,
KR70001P0004,,FGSC.15,소재,,,,
KR70001P0004,,FGSC.20,산업재,,,,
KR70001P0004,,FGSC.25,경기소비재,,,,
KR70001P0004,,FGSC.30,필수소비재,,,,
KR70001P0004,20260813,FGSC.35,의료,99.9999,5.15,94.85,DB마이티바이오시밀러&CDMO액티브증권상장지수투자신탁[주식]
KR70001P0004,,FGSC.40,금융,,,,
KR70001P0004,,FGSC.45,IT,,,,
KR70001P0004,,FGSC.50,통신서비스,,,,
KR70001P0004,,FGSC.55,유틸리티,,,,
KR7159800002,20260813,FGSC.10,에너지,1.4041,2,-.6,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.15,소재,1.7688,2.8,-1.03,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.20,산업재,10.6606,13.59,-2.93,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.25,경기소비재,5.0452,6.12,-1.07,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.30,필수소비재,1.2717,1.91,-.64,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.35,의료,1.986,5.15,-3.17,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.40,금융,8.103,7.56,.54,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.45,IT,68.4453,59.71,8.73,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.50,통신서비스,.9154,.66,.25,DB마이티K100증권상장지수투자신탁[주식]
KR7159800002,20260813,FGSC.55,유틸리티,.3999,.5,-.1,DB마이티K100증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.10,에너지,1.3482,2,-.65,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.15,소재,2.1331,2.8,-.67,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.20,산업재,10.7812,13.59,-2.81,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.25,경기소비재,5.2777,6.12,-.84,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.30,필수소비재,1.574,1.91,-.33,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.35,의료,1.9686,5.15,-3.19,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.40,금융,7.7438,7.56,.18,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.45,IT,67.9484,59.71,8.24,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.50,통신서비스,.8296,.66,.17,IBK IBK 200 증권상장지수투자신탁[주식]
KR7472840008,20260813,FGSC.55,유틸리티,.3953,.5,-.1,IBK IBK 200 증권상장지수투자신탁[주식]
KR70005G0001,,FGSC.10,에너지,,,,
KR70005G0001,,FGSC.15,소재,,,,
KR70005G0001,,FGSC.20,산업재,,,,
KR70005G0001,,FGSC.25,경기소비재,,,,
KR70005G0001,,FGSC.30,필수소비재,,,,
KR70005G0001,,FGSC.35,의료,,,,
KR70005G0001,,FGSC.40,금융,,,,
KR70005G0001,20260813,FGSC.45,IT,100,59.71,40.29,IBK IBK K-AI반도체 코어테크 증권상장지수투자신탁[주식]
KR70005G0001,,FGSC.50,통신서비스,,,,
KR70005G0001,,FGSC.55,유틸리티,,,,
KR70178H0001,,FGSC.10,에너지,,,,
KR70178H0001,,FGSC.15,소재,,,,
KR70178H0001,,FGSC.20,산업재,,,,
KR70178H0001,,FGSC.25,경기소비재,,,,
KR70178H0001,,FGSC.30,필수소비재,,,,
KR70178H0001,,FGSC.35,의료,,,,
KR70178H0001,,FGSC.40,금융,,,,
KR70178H0001,,FGSC.45,IT,,,,
KR70178H0001,,FGSC.50,통신서비스,,,,
KR70178H0001,,FGSC.55,유틸리티,,,,
KR70135Y0002,,FGSC.10,에너지,,,,
KR70135Y0002,,FGSC.15,소재,,,,
KR70135Y0002,,FGSC.20,산업재,,,,
KR70135Y0002,,FGSC.25,경기소비재,,,,
KR70135Y0002,,FGSC.30,필수소비재,,,,
KR70135Y0002,,FGSC.35,의료,,,,
KR70135Y0002,,FGSC.40,금융,,,,
KR70135Y0002,,FGSC.45,IT,,,,
KR70135Y0002,,FGSC.50,통신서비스,,,,
KR70135Y0002,,FGSC.55,유틸리티,,,,
KR70221V0000,,FGSC.10,에너지,,,,
KR70221V0000,,FGSC.15,소재,,,,
KR70221V0000,,FGSC.20,산업재,,,,
KR70221V0000,,FGSC.25,경기소비재,,,,
KR70221V0000,,FGSC.30,필수소비재,,,,
KR70221V0000,,FGSC.35,의료,,,,
KR70221V0000,,FGSC.40,금융,,,,
KR70221V0000,,FGSC.45,IT,,,,
KR70221V0000,,FGSC.50,통신서비스,,,,
KR70221V0000,,FGSC.55,유틸리티,,,,
KR70191S0001,20260813,FGSC.10,에너지,.6698,2,-1.33,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.15,소재,1.4198,2.8,-1.38,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.20,산업재,10.6714,13.59,-2.92,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.25,경기소비재,4.4602,6.12,-1.66,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.30,필수소비재,1.8886,1.91,-.02,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.35,의료,32.8538,5.15,27.7,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.40,금융,.6215,7.56,-6.94,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,20260813,FGSC.45,IT,47.4148,59.71,-12.3,IBK IBK 코스닥150증권상장지수투자신탁[주식]
KR70191S0001,,FGSC.50,통신서비스,,,,
KR70191S0001,,FGSC.55,유틸리티,,,,
KR70208N0007,20260813,FGSC.10,에너지,6.4273,2,4.43,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.15,소재,.6206,2.8,-2.18,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.20,산업재,14.7767,13.59,1.19,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.25,경기소비재,2.028,6.12,-4.09,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.30,필수소비재,2.3864,1.91,.48,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,,FGSC.35,의료,,,,
KR70208N0007,20260813,FGSC.40,금융,7.9238,7.56,.36,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.45,IT,64.8723,59.71,5.16,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,20260813,FGSC.50,통신서비스,.9649,.66,.3,IBK IBK 코스피액티브 증권상장지수투자신탁[주식]
KR70208N0007,,FGSC.55,유틸리티,,,,
KR7361580004,20260813,FGSC.10,에너지,1.3513,2,-.65,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.15,소재,2.0831,2.8,-.72,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.20,산업재,10.7467,13.59,-2.84,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.25,경기소비재,5.252,6.12,-.86,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.30,필수소비재,1.5645,1.91,-.34,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.35,의료,1.9593,5.15,-3.19,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.40,금융,7.7569,7.56,.2,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.45,IT,68.0598,59.71,8.35,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.50,통신서비스,.8295,.66,.17,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7361580004,20260813,FGSC.55,유틸리티,.3964,.5,-.1,KB RISE 200 Total Return 증권 상장지수 투자신탁(주식)
KR7290080001,20260813,FGSC.10,에너지,3.1478,2,1.15,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.15,소재,3.8606,2.8,1.06,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.20,산업재,18.003,13.59,4.41,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.25,경기소비재,26.6517,6.12,20.54,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.30,필수소비재,8.086,1.91,6.18,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,,FGSC.35,의료,,,,
KR7290080001,20260813,FGSC.40,금융,27.9327,7.56,20.37,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.45,IT,2.1295,59.71,-57.58,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.50,통신서비스,6.4306,.66,5.77,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7290080001,20260813,FGSC.55,유틸리티,3.7581,.5,3.26,KB RISE 200 고배당 커버드콜 ATM 증권 상장지수 투자신탁(주식-파생형)
KR7284980000,,FGSC.10,에너지,,,,
KR7284980000,,FGSC.15,소재,,,,
KR7284980000,,FGSC.20,산업재,,,,
KR7284980000,,FGSC.25,경기소비재,,,,
KR7284980000,,FGSC.30,필수소비재,,,,
KR7284980000,,FGSC.35,의료,,,,
KR7284980000,20260813,FGSC.40,금융,99.9999,7.56,92.44,KB RISE 200 금융 증권 상장지수 투자신탁(주식)
KR7284980000,,FGSC.45,IT,,,,
KR7284980000,,FGSC.50,통신서비스,,,,
KR7284980000,,FGSC.55,유틸리티,,,,
KR7252400007,,FGSC.10,에너지,,,,
KR7252400007,,FGSC.15,소재,,,,
KR7252400007,,FGSC.20,산업재,,,,
KR7252400007,,FGSC.25,경기소비재,,,,
KR7252400007,,FGSC.30,필수소비재,,,,
KR7252400007,,FGSC.35,의료,,,,
KR7252400007,,FGSC.40,금융,,,,
KR7252400007,,FGSC.45,IT,,,,
KR7252400007,,FGSC.50,통신서비스,,,,
KR7252400007,,FGSC.55,유틸리티,,,,
KR7252420005,,FGSC.10,에너지,,,,
KR7252420005,,FGSC.15,소재,,,,
KR7252420005,,FGSC.20,산업재,,,,
KR7252420005,,FGSC.25,경기소비재,,,,
KR7252420005,,FGSC.30,필수소비재,,,,
KR7252420005,,FGSC.35,의료,,,,
KR7252420005,,FGSC.40,금융,,,,
KR7252420005,,FGSC.45,IT,,,,
KR7252420005,,FGSC.50,통신서비스,,,,
KR7252420005,,FGSC.55,유틸리티,,,,
KR7252410006,,FGSC.10,에너지,,,,
KR7252410006,,FGSC.15,소재,,,,
KR7252410006,,FGSC.20,산업재,,,,
KR7252410006,,FGSC.25,경기소비재,,,,
KR7252410006,,FGSC.30,필수소비재,,,,
KR7252410006,,FGSC.35,의료,,,,
KR7252410006,,FGSC.40,금융,,,,
KR7252410006,,FGSC.45,IT,,,,
KR7252410006,,FGSC.50,통신서비스,,,,
KR7252410006,,FGSC.55,유틸리티,,,,
KR7475720009,20260813,FGSC.10,에너지,1.3739,2,-.63,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.15,소재,2.0931,2.8,-.71,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.20,산업재,10.9393,13.59,-2.65,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.25,경기소비재,5.2239,6.12,-.89,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.30,필수소비재,1.6945,1.91,-.21,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.35,의료,2.0243,5.15,-3.13,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.40,금융,7.8741,7.56,.31,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.45,IT,62.5248,59.71,2.81,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.50,통신서비스,.8612,.66,.2,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7475720009,20260813,FGSC.55,유틸리티,.4131,.5,-.08,KB RISE 200위클리커버드콜 증권 상장지수 투자신탁(주식-파생형)
KR7148020001,20260813,FGSC.10,에너지,1.3605,2,-.64,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.15,소재,2.0981,2.8,-.7,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.20,산업재,10.7456,13.59,-2.84,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.25,경기소비재,5.262,6.12,-.85,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.30,필수소비재,1.5768,1.91,-.33,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.35,의료,1.924,5.15,-3.23,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.40,금융,7.7604,7.56,.2,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.45,IT,68.0438,59.71,8.33,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.50,통신서비스,.8308,.66,.17,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7148020001,20260813,FGSC.55,유틸리티,.3978,.5,-.1,KB RISE 200 증권 상장지수 투자신탁(주식)
KR7183700004,20260813,FGSC.10,에너지,1.0567,2,-.95,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.15,소재,1.6631,2.8,-1.14,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.20,산업재,8.4371,13.59,-5.15,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.25,경기소비재,4.1031,6.12,-2.01,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.30,필수소비재,1.2049,1.91,-.7,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.35,의료,1.5449,5.15,-3.61,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.40,금융,6.0804,7.56,-1.48,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.45,IT,52.1079,59.71,-7.6,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.50,통신서비스,.6472,.66,-.02,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR7183700004,20260813,FGSC.55,유틸리티,.31,.5,-.19,KB RISE 200채권혼합50 증권 상장지수 투자신탁(채권혼합)
KR70122W0009,,FGSC.10,에너지,,,,
KR70122W0009,,FGSC.15,소재,,,,
KR70122W0009,,FGSC.20,산업재,,,,
KR70122W0009,,FGSC.25,경기소비재,,,,
KR70122W0009,,FGSC.30,필수소비재,,,,
KR70122W0009,,FGSC.35,의료,,,,
KR70122W0009,,FGSC.40,금융,,,,
KR70122W0009,,FGSC.45,IT,,,,
KR70122W0009,,FGSC.50,통신서비스,,,,
KR70122W0009,,FGSC.55,유틸리티,,,,
KR7465330009,20260813,FGSC.10,에너지,13.1958,2,11.19,KB RISE 2차전지TOP10iSelect 증권 상장지수 투자신탁(주식)
KR7465330009,20260813,FGSC.15,소재,26.1728,2.8,23.37,KB RISE 2차전지TOP10iSelect 증권 상장지수 투자신탁(주식)
KR7465330009,,FGSC.20,산업재,,,,
KR7465330009,,FGSC.25,경기소비재,,,,
KR7465330009,,FGSC.30,필수소비재,,,,
KR7465330009,,FGSC.35,의료,,,,
KR7465330009,,FGSC.40,금융,,,,
KR7465330009,20260813,FGSC.45,IT,60.6314,59.71,.92,KB RISE 2차전지TOP10iSelect 증권 상장지수 투자신탁(주식)
KR7465330009,,FGSC.50,통신서비스,,,,
KR7465330009,,FGSC.55,유틸리티,,,,
KR7465350007,,FGSC.10,에너지,,,,
KR7465350007,,FGSC.15,소재,,,,
KR7465350007,,FGSC.20,산업재,,,,
KR7465350007,,FGSC.25,경기소비재,,,,
KR7465350007,,FGSC.30,필수소비재,,,,
KR7465350007,,FGSC.35,의료,,,,
KR7465350007,,FGSC.40,금융,,,,
KR7465350007,,FGSC.45,IT,,,,
KR7465350007,,FGSC.50,통신서비스,,,,
KR7465350007,,FGSC.55,유틸리티,,,,
KR7422420000,20260813,FGSC.10,에너지,6.1663,2,4.16,KB RISE 2차전지액티브 증권 상장지수 투자신탁(주식)
