KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
0000D0,-6.77,-4.93,20260102,20250731,20260731
0000H0,-2.0,1.36,20260102,20250731,20260731
0000J0,-1.27,-4.21,20260102,20250731,20260731
0000Y0,1.52,-0.8,20260102,20250731,20260731
0000Z0,-48.11,-33.39,20260102,20250731,20260731
0001P0,-30.23,-17.87,20260102,20250731,20260731
0002C0,-4.9,-6.84,20260102,20250731,20260731
0004G0,5.56,6.69,20260102,20250731,20260731
0005A0,-1.78,3.83,20260102,20250731,20260731
0005C0,2.24,5.71,20260102,20250731,20260731
0005D0,-4.86,9.0,20260102,20250731,20260731
0005G0,122.17,268.94,20260102,20250731,20260731
0007F0,0.64,-0.73,20260102,20250731,20260731
0007G0,-4.61,0.49,20260102,20250731,20260731
0007N0,69.83,135.94,20260102,20250731,20260731
0008E0,10.75,28.54,20260102,20250731,20260731
0008S0,12.74,15.23,20260102,20250731,20260731
0008T0,16.06,-8.8,20260102,20250731,20260731
0013P0,7.56,29.46,20260102,20250731,20260731
0013R0,-20.05,-11.32,20260102,20250731,20260731
0015B0,37.56,66.55,20260102,20250731,20260731
0015E0,-2.91,-1.24,20260102,20250731,20260731
0015F0,-11.65,-8.18,20260102,20250731,20260731
0015K0,-12.3,-14.57,20260102,20250731,20260731
0016X0,1.25,0.7,20260102,20250731,20260731
0017Y0,-4.11,-7.21,20260102,20250731,20260731
0018C0,-11.08,-14.2,20260102,20250731,20260731
0018Z0,10.27,33.01,20260102,20250731,20260731
0019K0,16.39,21.6,20260102,20250731,20260731
0020H0,14.45,57.62,20260102,20250731,20260731
0022T0,-8.71,20.15,20260102,20250731,20260731
0023A0,-7.16,44.53,20260102,20250731,20260731
0023B0,-8.64,18.41,20260102,20250731,20260731
0025N0,5.9,14.87,20260102,20250731,20260731
0026E0,8.76,17.9,20260102,20250731,20260731
0026S0,7.2,20.51,20260102,20250731,20260731
0028X0,-4.93,1.96,20260102,20250731,20260731
0035T0,7.3,62.05,20260102,20250731,20260731
0036D0,23.98,27.33,20260102,20250731,20260731
0036R0,22.04,54.24,20260102,20250731,20260731
0036Z0,20.75,24.53,20260102,20250731,20260731
0038A0,-5.07,14.31,20260102,20250731,20260731
0040S0,45.21,76.6,20260102,20250731,20260731
0040X0,-22.35,-20.42,20260102,20250731,20260731
0040Y0,-21.85,-25.44,20260102,20250731,20260731
0041D0,-21.18,-12.51,20260102,20250731,20260731
0041E0,15.38,33.37,20260102,20250731,20260731
0043B0,1.9,2.33,20260102,20250731,20260731
0043Y0,35.15,75.23,20260102,20250731,20260731
0046A0,-1.0,3.13,20260102,20250731,20260731
0046Y0,6.73,17.44,20260102,20250731,20260731
0047A0,8.78,29.41,20260102,20250731,20260731
0047N0,-8.12,3.96,20260102,20250731,20260731
0047P0,-0.39,21.94,20260102,20250731,20260731
0047R0,-1.42,14.95,20260102,20250731,20260731
0048J0,-1.21,2.93,20260102,20250731,20260731
0048K0,-24.57,-2.74,20260102,20250731,20260731
