,종가,NAV,괴리율
2025-08-04,11595,11588.19,0.06
2025-08-05,11740,11744.47,-0.04
2025-08-06,11655,11658.92,-0.03
2025-08-07,11790,11856.71,-0.56
2025-08-08,11840,11878.63,-0.33
2025-08-11,12035,12048.39,-0.11
2025-08-12,11980,12040.56,-0.5
2025-08-13,12280,12332.08,-0.42
2025-08-14,12355,12301.6,0.43
2025-08-18,11945,11922.65,0.19
2025-08-19,11810,11816.52,-0.06
2025-08-20,11650,11619.9,0.26
2025-08-21,11465,11443.81,0.19
2025-08-22,11530,11539.09,-0.08
2025-08-25,11790,11765.05,0.21
2025-08-26,11755,11780.21,-0.21
2025-08-27,11770,11773.01,-0.03
2025-08-28,11745,11787.17,-0.36
2025-08-29,11800,11814.73,-0.12
2025-09-01,11290,11307.11,-0.15
2025-09-02,11410,11425.3,-0.13
2025-09-03,11505,11517.45,-0.11
2025-09-04,11560,11609.7,-0.43
2025-09-05,11680,11698.25,-0.16
2025-09-08,11825,11867.57,-0.36
2025-09-09,12130,12180.93,-0.42
2025-09-10,12525,12598.77,-0.59
2025-09-11,12675,12744.88,-0.55
2025-09-12,13145,13197.73,-0.4
2025-09-15,13425,13412.38,0.09
2025-09-16,13925,13928.2,-0.02
2025-09-17,13575,13566.41,0.06
2025-09-18,14145,14124.29,0.15
2025-09-19,14250,14188.02,0.44
2025-09-22,14445,14434.09,0.08
2025-09-23,14645,14607.04,0.26
2025-09-24,14655,14663.69,-0.06
2025-09-25,14600,14550.71,0.34
2025-09-26,14075,14025.31,0.35
2025-09-29,14370,14321.92,0.34
2025-09-30,14400,14355.16,0.31
2025-10-01,14620,14654.17,-0.23
2025-10-02,15340,15340.28,-0.0
2025-10-10,16440,16445.55,-0.03
2025-10-13,16530,16490.72,0.24
2025-10-14,16255,16202.74,0.32
2025-10-15,16895,16854.17,0.24
2025-10-16,17330,17367.6,-0.22
2025-10-17,17335,17296.17,0.22
2025-10-20,17695,17671.91,0.13
2025-10-21,17525,17473.37,0.3
2025-10-22,17655,17597.43,0.33
2025-10-23,17540,17459.39,0.46
2025-10-24,18035,18033.1,0.01
2025-10-27,18460,18447.18,0.07
2025-10-28,18085,17971.12,0.63
2025-10-29,18465,18428.24,0.2
2025-10-30,18775,18724.56,0.27
2025-10-31,18795,18754.85,0.21
2025-11-03,19470,19535.63,-0.34
2025-11-04,19200,19131.22,0.36
2025-11-05,18495,18440.47,0.3
2025-11-06,18580,18540.33,0.21
2025-11-07,18050,18024.11,0.14
2025-11-10,18825,18772.14,0.28
2025-11-11,19175,19206.37,-0.16
2025-11-12,19155,19178.15,-0.12
2025-11-13,19230,19140.14,0.47
2025-11-14,18090,18025.32,0.36
2025-11-17,18880,18903.65,-0.13
2025-11-18,17985,17953.8,0.17
2025-11-19,17710,17701.79,0.05
2025-11-20,18165,18109.56,0.31
2025-11-21,16885,16883.29,0.01
2025-11-24,16930,17001.86,-0.42
2025-11-25,17335,17342.61,-0.04
2025-11-26,17815,17817.71,-0.02
2025-11-27,17990,17997.61,-0.04
2025-11-28,17930,17885.18,0.25
2025-12-01,18080,18126.91,-0.26
2025-12-02,18345,18374.35,-0.16
2025-12-03,18395,18399.55,-0.02
2025-12-04,18125,18107.36,0.1
2025-12-05,18315,18367.34,-0.28
2025-12-08,18775,18813.64,-0.21
2025-12-09,18610,18610.3,-0.0
2025-12-10,18735,18770.29,-0.19
2025-12-11,18565,18495.85,0.37
2025-12-12,18625,18613.24,0.06
2025-12-15,18045,18013.31,0.18
2025-12-16,17505,17486.54,0.11
2025-12-17,18220,18200.85,0.11
2025-12-18,17960,17971.04,-0.06
2025-12-19,17900,17876.67,0.13
2025-12-22,18820,18831.93,-0.06
2025-12-23,18915,18943.99,-0.15
2025-12-24,18885,18860.59,0.13
2025-12-26,19420,19482.63,-0.32
2025-12-29,19940,20004.81,-0.32
2025-12-30,20110,20146.59,-0.18
2026-01-02,21645,21618.25,0.12
2026-01-05,22850,22786.98,0.28
2026-01-06,23640,23590.95,0.21
2026-01-07,23650,23657.16,-0.03
2026-01-08,23670,23639.06,0.13
2026-01-09,23310,23251.06,0.25
2026-01-12,23180,23146.7,0.14
2026-01-13,23205,23156.11,0.21
2026-01-14,23620,23585.7,0.15
2026-01-15,23840,23817.78,0.09
2026-01-16,24100,24124.26,-0.1
2026-01-19,24205,24231.89,-0.11
2026-01-20,23680,23613.18,0.28
2026-01-21,23980,23949.21,0.13
2026-01-22,24275,24245.39,0.12
2026-01-23,24450,24441.37,0.04
2026-01-26,24575,24528.47,0.19
2026-01-27,26025,26062.51,-0.14
2026-01-28,27560,27499.11,0.22
2026-01-29,28395,28350.63,0.16
2026-01-30,29760,29646.08,0.38
2026-02-02,27235,27131.35,0.38
2026-02-03,29600,29577.23,0.08
