,종가,NAV,괴리율
2025-08-05,22090,22040.57,0.22
2025-08-06,22040,21952.1,0.4
2025-08-07,22030,21980.95,0.22
2025-08-08,22135,22096.51,0.17
2025-08-11,22265,22245.11,0.09
2025-08-12,22255,22222.46,0.15
2025-08-13,22335,22341.33,-0.03
2025-08-14,22385,22418.77,-0.15
2025-08-18,22400,22414.37,-0.06
2025-08-19,22455,22508.23,-0.24
2025-08-20,22435,22498.97,-0.28
2025-08-21,22450,22444.26,0.03
2025-08-22,22250,22273.89,-0.11
2025-08-25,22465,22474.29,-0.04
2025-08-26,22535,22557.92,-0.1
2025-08-27,22670,22660.39,0.04
2025-08-28,22555,22572.53,-0.08
2025-08-29,22670,22685.61,-0.07
2025-09-01,22560,22600.43,-0.18
2025-09-02,22540,22556.93,-0.08
2025-09-03,22465,22424.64,0.18
2025-09-04,22560,22543.01,0.08
2025-09-05,22775,22707.98,0.3
2025-09-08,22670,22632.24,0.17
2025-09-09,22675,22637.62,0.17
2025-09-10,22735,22677.68,0.25
2025-09-11,22860,22830.78,0.13
2025-09-12,22965,22964.45,0.0
2025-09-15,22995,22967.55,0.12
2025-09-16,22945,22913.35,0.14
2025-09-17,22910,22903.86,0.03
2025-09-18,23075,23008.33,0.29
2025-09-19,23225,23215.48,0.04
2025-09-22,23275,23311.4,-0.16
2025-09-23,23435,23416.09,0.08
2025-09-24,23400,23368.96,0.13
2025-09-25,23380,23353.48,0.11
2025-09-26,23490,23432.95,0.24
2025-09-29,23440,23342.73,0.42
2025-09-30,23470,23474.54,-0.02
2025-10-01,23430,23576.91,-0.62
2025-10-02,23625,23604.14,0.09
2025-10-10,24085,24047.52,0.16
2025-10-13,23780,23478.22,1.29
2025-10-14,23790,23929.66,-0.58
2025-10-15,23830,23731.2,0.42
2025-10-16,23820,23772.06,0.2
2025-10-17,23520,23675.91,-0.66
2025-10-20,23850,23767.94,0.35
2025-10-21,24150,24166.48,-0.07
2025-10-22,24250,24200.76,0.2
2025-10-23,24275,24236.75,0.16
2025-10-24,24410,24335.94,0.3
2025-10-27,24660,24437.25,0.91
2025-10-28,24830,24839.72,-0.04
2025-10-29,24865,24734.04,0.53
2025-10-30,24625,24643.84,-0.08
2025-10-31,24530,24362.84,0.69
2025-11-03,24535,24503.85,0.13
2025-11-04,24490,24703.74,-0.87
2025-11-05,24605,24608.77,-0.02
2025-11-06,24645,24669.65,-0.1
2025-11-07,24615,24549.39,0.27
2025-11-10,24660,24488.57,0.7
2025-11-11,25055,25071.99,-0.07
2025-11-12,25230,25165.7,0.26
2025-11-13,25300,25216.61,0.33
2025-11-14,24615,24618.48,-0.01
2025-11-17,24735,24627.16,0.44
2025-11-18,24400,24525.51,-0.51
2025-11-19,24315,24329.65,-0.06
2025-11-20,24760,24459.76,1.23
2025-11-21,24260,24208.15,0.21
2025-11-24,24585,24470.92,0.47
2025-11-25,24750,24769.77,-0.08
2025-11-26,24955,24879.79,0.3
2025-11-27,25040,25039.81,0.0
2025-11-28,25190,25137.03,0.21
2025-12-01,25095,25260.15,-0.65
2025-12-02,25070,25103.92,-0.14
2025-12-03,25205,25158.38,0.19
2025-12-04,25335,25329.18,0.02
2025-12-05,25345,25276.3,0.27
2025-12-08,25340,25295.1,0.18
2025-12-09,25310,25302.41,0.03
2025-12-10,25270,25247.58,0.09
2025-12-11,25240,25462.87,-0.88
2025-12-12,25555,25528.18,0.11
2025-12-15,25290,25210.62,0.31
2025-12-16,25135,25276.46,-0.56
2025-12-17,25280,25264.21,0.06
2025-12-18,24990,24947.27,0.17
2025-12-19,25115,25110.86,0.02
2025-12-22,25455,25396.9,0.23
2025-12-23,25605,25621.51,-0.06
2025-12-24,25165,25152.46,0.05
2025-12-26,25085,25068.27,0.07
2025-12-29,24900,24880.24,0.08
2025-12-30,25000,24953.08,0.19
2026-01-02,24925,24785.53,0.56
2026-01-05,24920,24870.69,0.2
2026-01-06,25120,25058.23,0.25
2026-01-07,25235,25219.2,0.06
2026-01-08,25125,25216.18,-0.36
2026-01-09,25345,25338.7,0.02
2026-01-12,25545,25692.25,-0.57
2026-01-13,25810,25827.47,-0.07
2026-01-14,25785,25843.74,-0.23
2026-01-15,25615,25571.14,0.17
2026-01-16,25790,25705.11,0.33
2026-01-19,25540,25691.29,-0.59
2026-01-20,25455,25768.18,-1.22
2026-01-21,25205,25121.46,0.33
2026-01-22,25410,25388.54,0.08
2026-01-23,25515,25456.41,0.23
2026-01-26,25010,25028.67,-0.07
2026-01-27,25265,25251.33,0.05
2026-01-28,25030,24874.32,0.63
2026-01-29,24970,24938.82,0.13
2026-01-30,24955,25135.78,-0.72
2026-02-02,25120,25461.43,-1.34
2026-02-03,25345,25269.09,0.3
2026-02-04,25180,25139.38,0.16
2026-02-05,25330,25335.24,-0.02
2026-02-06,25000,25033.2,-0.13
2026-02-09,25380,25366.33,0.05
2026-02-10,25445,25466.28,-0.08
2026-02-11,25275,25227.52,0.19
2026-02-12,25135,25054.5,0.32
2026-02-13,24690,24744.46,-0.22
2026-02-19,24970,24936.87,0.13
2026-02-20,24975,24888.43,0.35
2026-02-23,24775,24947.41,-0.69
2026-02-24,24780,24731.97,0.19
2026-02-25,24705,24695.89,0.04
2026-02-26,24800,24835.14,-0.14
2026-02-27,24830,24941.48,-0.45
2026-03-03,25075,25301.7,-0.9
2026-03-04,25085,25237.22,-0.6
2026-03-05,25200,25292.96,-0.37
2026-03-06,25310,25292.93,0.07
2026-03-09,24895,25283.14,-1.54
