,종가,NAV,괴리율
2025-08-05,20625,20497.1,0.62
2025-08-06,20300,20281.22,0.09
2025-08-07,20340,20124.63,1.07
2025-08-08,20550,20542.51,0.04
2025-08-11,20695,20681.61,0.06
2025-08-12,20675,20681.42,-0.03
2025-08-13,21165,21174.97,-0.05
2025-08-14,21250,21365.48,-0.54
2025-08-18,20950,20907.8,0.2
2025-08-19,21050,21080.03,-0.14
2025-08-20,20660,20805.35,-0.7
2025-08-21,20700,20665.02,0.17
2025-08-22,20410,20481.34,-0.35
2025-08-25,20970,20912.93,0.27
2025-08-26,21035,21084.58,-0.24
2025-08-27,21320,21287.69,0.15
2025-08-28,21085,21206.0,-0.57
2025-08-29,21210,21345.73,-0.64
2025-09-01,20675,20730.28,-0.27
2025-09-02,20635,20689.75,-0.26
2025-09-03,20460,20479.94,-0.1
2025-09-04,20460,20438.53,0.11
2025-09-05,20880,20698.82,0.88
2025-09-08,21055,21028.37,0.13
2025-09-09,21210,21163.29,0.22
2025-09-10,21345,21186.54,0.75
2025-09-11,21705,21763.5,-0.27
2025-09-12,21815,21843.8,-0.13
2025-09-15,21835,21877.56,-0.19
2025-09-16,22005,21931.44,0.34
2025-09-17,21995,22021.79,-0.12
2025-09-18,22275,22088.77,0.84
2025-09-19,22965,22970.98,-0.03
2025-09-22,22845,22785.23,0.26
2025-09-23,23160,23146.15,0.06
2025-09-24,23220,23150.53,0.3
2025-09-25,23170,23159.79,0.04
2025-09-26,23355,23313.0,0.18
2025-09-29,23340,23163.72,0.76
2025-09-30,23305,23264.98,0.17
2025-10-01,23310,23461.29,-0.64
2025-10-02,23955,23898.71,0.24
2025-10-10,25700,25535.42,0.64
2025-10-13,24910,23992.71,3.82
2025-10-14,25030,25254.2,-0.89
2025-10-15,24970,24519.3,1.84
2025-10-16,25400,25206.06,0.77
2025-10-17,25100,25355.4,-1.01
2025-10-20,25530,25269.81,1.03
2025-10-21,25755,25807.63,-0.2
2025-10-22,25580,25673.15,-0.36
2025-10-23,25320,25249.74,0.28
2025-10-24,26125,25854.18,1.05
2025-10-27,26755,26228.42,2.01
2025-10-28,27020,27058.05,-0.14
2025-10-29,27440,27030.31,1.52
2025-10-30,27490,27410.01,0.29
2025-10-31,27260,26958.47,1.12
2025-11-03,27280,27090.81,0.7
2025-11-04,26890,27423.01,-1.94
2025-11-05,26395,26541.39,-0.55
2025-11-06,27380,27316.79,0.23
2025-11-07,26975,26850.58,0.46
2025-11-10,27180,26463.77,2.71
2025-11-11,27440,27491.34,-0.19
2025-11-12,27255,26885.9,1.37
2025-11-13,27390,27301.71,0.32
2025-11-14,25935,26069.9,-0.52
2025-11-17,26260,26074.72,0.71
2025-11-18,25475,25779.43,-1.18
2025-11-19,25100,25203.57,-0.41
2025-11-20,26545,25709.26,3.25
2025-11-21,24645,24623.04,0.09
2025-11-24,25090,24866.48,0.9
2025-11-25,25825,25913.1,-0.34
2025-11-26,26005,25845.12,0.62
2025-11-27,26580,26535.34,0.17
2025-11-28,26810,26652.95,0.59
2025-12-01,26720,27115.53,-1.46
2025-12-02,27085,27071.75,0.05
2025-12-03,27780,27571.0,0.76
2025-12-04,28005,28167.26,-0.58
2025-12-05,28080,27847.87,0.83
2025-12-08,28270,28107.11,0.58
2025-12-09,28480,28519.27,-0.14
2025-12-10,28440,28472.09,-0.11
2025-12-11,28340,28895.83,-1.92
2025-12-12,28590,28690.36,-0.35
2025-12-15,27380,27187.61,0.71
2025-12-16,26770,27102.53,-1.23
2025-12-17,27125,27059.62,0.24
2025-12-18,26405,26023.04,1.47
2025-12-19,26850,26622.94,0.85
2025-12-22,27740,27486.46,0.92
2025-12-23,27765,27840.3,-0.27
2025-12-24,27365,27326.05,0.14
2025-12-26,27355,27213.73,0.52
2025-12-29,26985,27004.67,-0.07
2025-12-30,27120,27079.67,0.15
2026-01-02,27155,26793.74,1.35
2026-01-05,28205,27904.41,1.08
2026-01-06,28465,28231.39,0.83
2026-01-07,28845,28995.92,-0.52
2026-01-08,28465,28793.12,-1.14
2026-01-09,28435,28429.6,0.02
2026-01-12,28985,29434.7,-1.53
2026-01-13,29630,29683.69,-0.18
2026-01-14,30060,30052.21,0.03
2026-01-15,30150,29725.87,1.43
2026-01-16,30710,30330.24,1.25
2026-01-19,30380,30639.31,-0.85
2026-01-20,30185,30756.7,-1.86
2026-01-21,30400,30108.0,0.97
2026-01-22,31200,31022.18,0.57
2026-01-23,31000,30969.6,0.1
2026-01-26,29950,30037.82,-0.29
2026-01-27,30395,30065.92,1.09
2026-01-28,31115,30205.32,3.01
2026-01-29,31220,31010.22,0.68
2026-01-30,30810,31356.78,-1.74
2026-02-02,29765,30696.65,-3.04
2026-02-03,31035,30806.9,0.74
2026-02-04,30185,30255.66,-0.23
2026-02-05,29565,29359.7,0.7
2026-02-06,29420,29342.16,0.27
2026-02-09,30770,30790.61,-0.07
2026-02-10,31180,31201.49,-0.07
2026-02-11,30850,30791.97,0.19
2026-02-12,31435,31263.51,0.55
2026-02-13,30715,30584.84,0.43
2026-02-19,31155,31085.68,0.22
2026-02-20,31030,30955.78,0.24
2026-02-23,30740,31100.61,-1.16
2026-02-24,31100,31017.79,0.27
2026-02-25,31255,31155.35,0.32
2026-02-26,31570,31568.16,0.01
2026-02-27,30690,30864.43,-0.57
2026-03-03,30630,31228.39,-1.92
2026-03-04,29550,30011.91,-1.54
2026-03-05,30315,30412.8,-0.32
2026-03-06,30570,30232.35,1.12
2026-03-09,28795,29447.4,-2.22
2026-03-10,29905,30034.8,-0.43
2026-03-11,30345,30191.89,0.51
2026-03-12,30315,30670.91,-1.16
2026-03-13,30010,29904.97,0.35
2026-03-16,30320,30006.63,1.04
2026-03-17,30255,30474.37,-0.72
2026-03-18,30815,30456.71,1.18
2026-03-19,30575,30638.74,-0.21
2026-03-20,30875,30898.21,-0.08
2026-03-23,30035,30457.74,-1.39
2026-03-24,30245,30422.88,-0.58
2026-03-25,31180,30931.67,0.8
2026-03-26,31220,31435.94,-0.69
2026-03-27,30390,29973.76,1.39
2026-03-30,29665,29609.21,0.19
2026-03-31,28880,28646.6,0.81
2026-04-01,30350,29821.6,1.77
2026-04-02,30120,31053.21,-3.01
2026-04-03,30755,30866.3,-0.36
2026-04-06,30965,30902.24,0.2
2026-04-07,31010,31166.82,-0.5
2026-04-08,32330,30810.32,4.93
2026-04-09,32820,33013.84,-0.59
2026-04-10,33680,33720.41,-0.12
2026-04-13,34305,34632.7,-0.95
2026-04-14,35250,35062.89,0.53
2026-04-15,35500,35578.7,-0.22
2026-04-16,35955,35682.89,0.76
2026-04-17,36255,36226.02,0.08
2026-04-20,36745,36930.13,-0.5
2026-04-21,37255,36914.48,0.92
2026-04-22,37815,37303.83,1.37
2026-04-23,38670,38430.92,0.62
2026-04-24,39935,39161.88,1.97
2026-04-27,41370,40559.77,2.0
2026-04-28,40220,40064.75,0.39
2026-04-29,39335,38837.7,1.28
2026-04-30,39755,39811.16,-0.14
2026-05-04,40955,40541.79,1.02
2026-05-06,42500,41769.53,1.75
2026-05-07,43475,43596.49,-0.28
2026-05-08,43450,42989.66,1.07
2026-05-11,45590,45350.25,0.53
2026-05-12,46260,47067.95,-1.72
2026-05-13,46510,45663.02,1.85
2026-05-14,47180,46880.47,0.64
2026-05-15,46250,47378.22,-2.38
2026-05-18,45205,45434.79,-0.51
2026-05-19,44125,44517.97,-0.88
2026-05-20,44880,44562.55,0.71
2026-05-21,46710,46522.27,0.4
2026-05-22,47770,47485.03,0.6
2026-05-26,49175,47986.33,2.48
2026-05-27,50735,50557.53,0.35
2026-05-28,49355,49849.82,-0.99
2026-05-29,50825,50604.92,0.43
2026-06-01,51220,50510.64,1.4
2026-06-02,51755,51431.83,0.63
2026-06-04,54795,55672.71,-1.58
2026-06-05,53780,54803.96,-1.87
2026-06-08,49530,49102.91,0.87
2026-06-09,52070,51000.63,2.1
2026-06-10,49925,50359.2,-0.86
2026-06-11,49510,48829.45,1.39
2026-06-12,52145,52262.67,-0.23
2026-06-15,54980,52793.73,4.14
2026-06-16,55505,55685.61,-0.32
2026-06-17,53870,52568.78,2.48
2026-06-18,55030,53777.75,2.33
2026-06-19,56600,57154.25,-0.97
2026-06-22,57815,57610.19,0.36
2026-06-23,56445,58851.45,-4.09
2026-06-24,55425,54310.43,2.05
2026-06-25,57100,54234.12,5.28
2026-06-26,54475,55800.46,-2.38
2026-06-29,54210,53280.89,1.74
2026-06-30,55910,55516.87,0.71
2026-07-01,57315,57816.52,-0.87
2026-07-02,53815,54203.99,-0.72
2026-07-03,51645,50331.77,2.61
2026-07-06,51500,50467.88,2.05
2026-07-07,50215,51474.69,-2.45
2026-07-08,47670,48115.77,-0.93
2026-07-09,50200,49506.52,1.4
2026-07-10,50605,50773.64,-0.33
2026-07-13,49120,50882.27,-3.46
2026-07-14,48860,48171.62,1.43
2026-07-15,50500,49068.43,2.92
2026-07-16,47975,47914.15,0.13
2026-07-20,45105,45050.44,0.12
2026-07-21,46510,45152.42,3.01
2026-07-22,46580,47715.9,-2.38
2026-07-23,47475,47502.19,-0.06
2026-07-24,46745,47198.82,-0.96
2026-07-27,46495,45281.57,2.68
2026-07-28,42730,44079.79,-3.06
2026-07-29,40805,41609.49,-1.93
2026-07-30,39260,39142.63,0.3
2026-07-31,43650,41928.72,4.11
2026-08-03,42685,42168.47,1.22
2026-08-04,43300,42708.51,1.38
