,종가,NAV,괴리율
2025-08-05,20065,20023.21,0.21
2025-08-06,20030,19943.52,0.43
2025-08-07,20025,19968.75,0.28
2025-08-08,20105,20074.19,0.15
2025-08-11,20235,20209.05,0.13
2025-08-12,20220,20187.62,0.16
2025-08-13,20290,20296.58,-0.03
2025-08-14,20335,20367.03,-0.16
2025-08-18,20345,20362.53,-0.09
2025-08-19,20405,20448.57,-0.21
2025-08-20,20380,20439.93,-0.29
2025-08-21,20390,20390.11,-0.0
2025-08-22,20200,20235.05,-0.17
2025-08-25,20405,20417.73,-0.06
2025-08-26,20495,20494.01,0.0
2025-08-27,20600,20587.09,0.06
2025-08-28,20500,20507.65,-0.04
2025-08-29,20595,20609.94,-0.07
2025-09-01,20480,20532.38,-0.26
2025-09-02,20475,20492.86,-0.09
2025-09-03,20400,20373.16,0.13
2025-09-04,20500,20480.25,0.1
2025-09-05,20685,20630.68,0.26
2025-09-08,20595,20561.98,0.16
2025-09-09,20605,20566.15,0.19
2025-09-10,20645,20602.61,0.21
2025-09-11,20765,20742.15,0.11
2025-09-12,20855,20863.96,-0.04
2025-09-15,20890,20866.54,0.11
2025-09-16,20845,20816.33,0.14
2025-09-17,20810,20807.89,0.01
2025-09-18,20980,20903.79,0.36
2025-09-19,21085,21092.07,-0.03
2025-09-22,21125,21179.75,-0.26
2025-09-23,21270,21274.62,-0.02
2025-09-24,21265,21231.91,0.16
2025-09-25,21225,21218.42,0.03
2025-09-26,21330,21290.26,0.19
2025-09-29,21290,21208.53,0.38
2025-09-30,21325,21328.36,-0.02
2025-10-01,21295,21421.54,-0.59
2025-10-02,21465,21445.97,0.09
2025-10-10,21890,21849.22,0.19
2025-10-13,21605,21330.85,1.29
2025-10-14,21610,21742.57,-0.61
2025-10-15,21650,21561.79,0.41
2025-10-16,21640,21597.93,0.19
2025-10-17,21370,21511.66,-0.66
2025-10-20,21675,21594.91,0.37
2025-10-21,21945,21958.04,-0.06
2025-10-22,22030,21989.47,0.18
2025-10-23,22050,22022.23,0.13
2025-10-24,22180,22112.31,0.31
2025-10-27,22405,22204.05,0.91
2025-10-28,22565,22570.92,-0.03
2025-10-29,22590,22418.28,0.77
2025-10-30,22320,22336.08,-0.07
2025-10-31,22235,22082.03,0.69
2025-11-03,22225,22209.37,0.07
2025-11-04,22200,22390.6,-0.85
2025-11-05,22290,22304.87,-0.07
2025-11-06,22335,22360.02,-0.11
2025-11-07,22310,22250.72,0.27
2025-11-10,22355,22196.48,0.71
2025-11-11,22710,22725.45,-0.07
2025-11-12,22875,22810.07,0.28
2025-11-13,22935,22856.25,0.34
2025-11-14,22325,22314.33,0.05
2025-11-17,22420,22322.22,0.44
2025-11-18,22115,22230.21,-0.52
2025-11-19,22030,22052.48,-0.1
2025-11-20,22445,22170.6,1.24
2025-11-21,21990,21942.4,0.22
2025-11-24,22290,22181.7,0.49
2025-11-25,22435,22453.35,-0.08
2025-11-26,22620,22553.31,0.3
2025-11-27,22700,22698.49,0.01
2025-11-28,22885,22786.73,0.43
2025-12-01,22750,22898.61,-0.65
2025-12-02,22730,22755.85,-0.11
2025-12-03,22855,22805.89,0.22
2025-12-04,22975,22960.35,0.06
2025-12-05,22965,22912.96,0.23
2025-12-08,22980,22930.54,0.22
2025-12-09,22945,22936.61,0.04
2025-12-10,22905,22887.22,0.08
2025-12-11,22885,23082.82,-0.86
2025-12-12,23160,23142.03,0.08
2025-12-15,22915,22852.72,0.27
2025-12-16,22790,22912.13,-0.53
2025-12-17,22915,22901.43,0.06
2025-12-18,22640,22613.09,0.12
2025-12-19,22770,22762.06,0.03
2025-12-22,23075,23022.02,0.23
2025-12-23,23200,23225.92,-0.11
2025-12-24,22795,22800.62,-0.02
2025-12-26,22730,22723.69,0.03
2025-12-29,22560,22553.0,0.03
2025-12-30,22630,22619.06,0.05
2026-01-02,22605,22466.71,0.62
2026-01-05,22575,22544.88,0.13
2026-01-06,22755,22714.52,0.18
2026-01-07,22865,22861.16,0.02
2026-01-08,22770,22857.97,-0.38
2026-01-09,22975,22969.94,0.02
2026-01-12,23155,23290.43,-0.58
2026-01-13,23390,23413.0,-0.1
2026-01-14,23370,23428.26,-0.25
2026-01-15,23220,23180.82,0.17
2026-01-16,23380,23302.61,0.33
2026-01-19,23110,23290.27,-0.77
2026-01-20,23070,23359.73,-1.24
2026-01-21,22850,22772.96,0.34
