,종가,NAV,괴리율
2025-08-05,18540,18490.91,0.27
2025-08-06,18410,18355.33,0.3
2025-08-07,18635,18586.14,0.26
2025-08-08,18680,18647.1,0.18
2025-08-11,18845,18823.24,0.12
2025-08-12,18775,18755.36,0.1
2025-08-13,19010,18997.98,0.06
2025-08-14,18965,19004.83,-0.21
2025-08-18,18895,18896.93,-0.01
2025-08-19,18850,18899.01,-0.26
2025-08-20,18540,18634.99,-0.51
2025-08-21,18550,18523.18,0.14
2025-08-22,18400,18439.06,-0.21
2025-08-25,18710,18719.76,-0.05
2025-08-26,18635,18663.23,-0.15
2025-08-27,18750,18741.07,0.05
2025-08-28,18730,18766.89,-0.2
2025-08-29,18840,18876.35,-0.19
2025-09-01,18580,18648.15,-0.37
2025-09-02,18615,18646.21,-0.17
2025-09-03,18555,18499.74,0.3
2025-09-04,18655,18642.13,0.07
2025-09-05,18905,18815.17,0.48
2025-09-08,18890,18830.83,0.31
2025-09-09,18955,18917.32,0.2
2025-09-10,19025,18978.17,0.25
2025-09-11,19000,18984.52,0.08
2025-09-12,19105,19094.17,0.06
2025-09-15,19195,19174.15,0.11
2025-09-16,19370,19331.21,0.2
2025-09-17,19310,19312.88,-0.01
2025-09-18,19375,19272.87,0.53
2025-09-19,19450,19459.6,-0.05
2025-09-22,19570,19593.05,-0.12
2025-09-23,19695,19700.42,-0.03
2025-09-24,19595,19556.16,0.2
2025-09-25,19495,19492.96,0.01
2025-09-26,19435,19407.58,0.14
2025-09-29,19575,19490.17,0.44
2025-09-30,19585,19576.23,0.04
2025-10-01,19510,19622.84,-0.58
2025-10-02,19760,19714.09,0.23
2025-10-10,19980,19961.76,0.09
2025-10-13,19590,19253.96,1.75
2025-10-14,19505,19679.88,-0.89
2025-10-15,19650,19539.5,0.57
2025-10-16,19725,19668.13,0.29
2025-10-17,19450,19598.66,-0.76
2025-10-20,19820,19724.02,0.49
2025-10-21,19955,19982.38,-0.14
2025-10-22,19990,19970.7,0.1
2025-10-23,19810,19772.34,0.19
2025-10-24,20035,19945.31,0.45
2025-10-27,20380,20149.07,1.15
2025-10-28,20520,20515.45,0.02
2025-10-29,20760,20636.52,0.6
2025-10-30,20680,20716.39,-0.18
2025-10-31,20650,20410.2,1.17
2025-11-03,20550,20508.73,0.2
2025-11-04,20335,20601.75,-1.29
2025-11-05,20155,20172.41,-0.09
2025-11-06,20265,20317.56,-0.26
2025-11-07,19990,19916.37,0.37
2025-11-10,20105,19857.74,1.25
2025-11-11,20270,20307.05,-0.18
2025-11-12,20335,20246.15,0.44
2025-11-13,20305,20232.53,0.36
2025-11-14,19775,19814.03,-0.2
2025-11-17,19950,19827.28,0.62
2025-11-18,19535,19661.73,-0.64
2025-11-19,19400,19425.9,-0.13
2025-11-20,19865,19532.14,1.7
2025-11-21,19080,19062.52,0.09
2025-11-24,19345,19211.37,0.7
2025-11-25,19695,19713.76,-0.1
2025-11-26,19925,19825.85,0.5
2025-11-27,20015,19996.15,0.09
2025-11-28,20080,19996.18,0.42
2025-12-01,19965,20151.28,-0.92
2025-12-02,20035,20076.44,-0.21
2025-12-03,20285,20241.48,0.22
2025-12-04,20280,20280.59,-0.0
2025-12-05,20330,20258.71,0.35
2025-12-08,20410,20345.79,0.32
2025-12-09,20290,20297.7,-0.04
2025-12-10,20335,20329.29,0.03
2025-12-11,20155,20413.02,-1.26
2025-12-12,20330,20341.24,-0.06
2025-12-15,19990,19950.13,0.2
2025-12-16,19680,19848.15,-0.85
2025-12-17,19915,19897.77,0.09
2025-12-18,19590,19508.51,0.42
2025-12-19,19825,19800.26,0.12
2025-12-22,20135,20056.21,0.39
2025-12-23,20125,20146.5,-0.11
2025-12-24,20440,20230.22,1.04
2025-12-26,20285,20275.6,0.05
2025-12-29,20260,20264.69,-0.02
2025-12-30,20160,20171.15,-0.06
2026-01-02,20105,19951.39,0.77
2026-01-05,19985,19914.14,0.36
2026-01-06,20145,20066.55,0.39
2026-01-07,20235,20254.16,-0.09
2026-01-08,20130,20265.5,-0.67
2026-01-09,20140,20148.83,-0.04
2026-01-12,20165,20356.36,-0.94
2026-01-13,20335,20376.18,-0.2
2026-01-14,20295,20339.43,-0.22
2026-01-15,20180,20115.98,0.32
2026-01-16,20260,20180.91,0.39
2026-01-19,19975,20165.72,-0.95
2026-01-20,19875,20165.7,-1.44
2026-01-21,19815,19735.62,0.4
2026-01-22,20025,20000.77,0.12
2026-01-23,20205,20149.8,0.27
2026-01-26,20185,20209.06,-0.12
2026-01-27,20420,20293.6,0.62
2026-01-28,20655,20432.4,1.09
2026-01-29,20575,20494.42,0.39
2026-01-30,20200,20388.92,-0.93
2026-02-02,19780,20132.79,-1.75
2026-02-03,20380,20278.19,0.5
2026-02-04,19965,19960.0,0.03
2026-02-05,19635,19599.15,0.18
2026-02-06,19285,19325.2,-0.21
2026-02-09,19740,19738.43,0.01
2026-02-10,19860,19888.39,-0.14
2026-02-11,19825,19775.01,0.25
2026-02-12,19865,19821.38,0.22
2026-02-13,19360,19421.68,-0.32
2026-02-19,19620,19586.09,0.17
2026-02-20,19575,19509.01,0.34
2026-02-23,19500,19672.98,-0.88
2026-02-24,19480,19436.5,0.22
2026-02-25,19655,19637.97,0.09
2026-02-26,19870,19905.17,-0.18
2026-02-27,19610,19677.08,-0.34
2026-03-03,19440,19648.93,-1.06
2026-03-04,19255,19430.78,-0.9
2026-03-05,19630,19720.81,-0.46
2026-03-06,19710,19663.79,0.24
2026-03-09,19080,19366.43,-1.48
2026-03-10,19590,19620.04,-0.15
2026-03-11,19645,19609.8,0.18
2026-03-12,19460,19617.81,-0.8
2026-03-13,19280,19276.82,0.02
2026-03-16,19275,19157.7,0.61
2026-03-17,19275,19372.51,-0.5
2026-03-18,19615,19468.89,0.75
2026-03-19,19155,19190.58,-0.19
2026-03-20,19130,19134.42,-0.02
2026-03-23,18625,18772.72,-0.79
2026-03-24,18930,19003.28,-0.39
2026-03-25,18960,18858.28,0.54
2026-03-26,18910,18981.22,-0.38
2026-03-27,18655,18526.28,0.69
2026-03-30,18220,18167.5,0.29
2026-03-31,18155,18023.04,0.73
2026-04-01,18800,18635.82,0.88
2026-04-02,18545,18858.63,-1.66
2026-04-03,18845,18874.88,-0.16
2026-04-06,18880,18874.05,0.03
2026-04-07,18900,18984.89,-0.45
2026-04-08,19625,18982.22,3.39
2026-04-09,19500,19519.17,-0.1
2026-04-10,19645,19658.03,-0.07
2026-04-13,19555,19686.32,-0.67
2026-04-14,19920,19890.9,0.15
2026-04-15,20235,20242.25,-0.04
2026-04-16,20610,20523.03,0.42
2026-04-17,20600,20624.84,-0.12
2026-04-20,20755,20886.45,-0.63
2026-04-21,20905,20819.84,0.41
2026-04-22,20880,20735.31,0.7
2026-04-23,21025,21092.56,-0.32
2026-04-24,21085,20971.17,0.54
2026-04-27,21380,21370.11,0.05
2026-04-28,21325,21341.7,-0.08
2026-04-29,21210,21124.4,0.41
2026-04-30,21185,21247.56,-0.29
2026-05-04,21710,21646.08,0.3
2026-05-06,22040,21878.38,0.74
2026-05-07,22340,22323.15,0.08
2026-05-08,22415,22303.63,0.5
2026-05-11,22815,22835.01,-0.09
2026-05-12,22770,22909.09,-0.61
2026-05-13,22835,22706.95,0.56
2026-05-14,23065,22942.3,0.53
2026-05-15,22820,23113.59,-1.27
2026-05-18,22575,22760.72,-0.82
2026-05-19,22565,22660.39,-0.42
2026-05-20,22600,22523.84,0.34
2026-05-21,22875,22894.29,-0.08
2026-05-22,23035,22945.32,0.39
2026-05-26,23245,23036.84,0.9
2026-05-27,23450,23434.04,0.07
2026-05-28,23320,23409.28,-0.38
2026-05-29,23630,23604.05,0.11
2026-06-01,23810,23688.5,0.51
2026-06-02,23765,23831.01,-0.28
2026-06-04,23755,23877.81,-0.51
2026-06-05,23500,23759.96,-1.09
2026-06-08,22690,22625.5,0.29
2026-06-09,23130,22975.39,0.67
2026-06-10,22620,22724.72,-0.46
2026-06-11,22435,22272.18,0.73
2026-06-12,22975,22999.62,-0.11
2026-06-15,23600,23142.63,1.98
2026-06-16,23830,23846.74,-0.07
2026-06-17,23550,23395.06,0.66
2026-06-18,23445,23164.66,1.21
2026-06-19,23575,23739.84,-0.69
2026-06-22,23735,23741.12,-0.03
2026-06-23,23215,23694.13,-2.02
2026-06-24,23055,22907.16,0.65
2026-06-25,23260,22807.67,1.98
2026-06-26,22715,22973.98,-1.13
2026-06-29,22915,22722.89,0.85
2026-06-30,23315,23240.58,0.32
2026-07-01,23530,23633.23,-0.44
2026-07-02,23175,23268.71,-0.4
2026-07-03,23135,22889.35,1.07
2026-07-06,23050,22893.01,0.69
2026-07-07,22960,23175.44,-0.93
2026-07-08,22695,22766.01,-0.31
2026-07-09,22955,22826.73,0.56
2026-07-10,23095,23197.02,-0.44
2026-07-13,22955,23267.2,-1.34
2026-07-14,22935,22828.8,0.47
2026-07-15,23265,23073.51,0.83
2026-07-16,23000,23005.76,-0.03
2026-07-20,22310,22300.64,0.04
2026-07-21,22570,22309.17,1.17
2026-07-22,22555,22734.85,-0.79
2026-07-23,22560,22606.49,-0.21
2026-07-24,22115,22182.19,-0.3
2026-07-27,22250,21921.01,1.5
2026-07-28,21625,21855.53,-1.05
2026-07-29,21540,21616.81,-0.36
2026-07-30,21265,21181.12,0.4
2026-07-31,22165,21862.91,1.38
2026-08-03,22170,21990.78,0.81
2026-08-04,22525,22388.49,0.61
2026-08-05,23185,23132.54,0.23
