,종가,NAV,괴리율
2025-08-05,21505,21444.41,0.28
2025-08-06,21370,21307.68,0.29
2025-08-07,21510,21452.91,0.27
2025-08-08,21685,21651.56,0.15
2025-08-11,21850,21832.97,0.08
2025-08-12,21805,21786.43,0.09
2025-08-13,21955,21945.32,0.04
2025-08-14,21925,21958.99,-0.15
2025-08-18,21880,21881.81,-0.01
2025-08-19,21920,21977.06,-0.26
2025-08-20,21685,21789.4,-0.48
2025-08-21,21685,21662.99,0.1
2025-08-22,21435,21485.44,-0.23
2025-08-25,21675,21683.97,-0.04
2025-08-26,21755,21790.54,-0.16
2025-08-27,21905,21890.36,0.07
2025-08-28,21745,21791.47,-0.21
2025-08-29,21930,21958.19,-0.13
2025-09-01,21680,21748.24,-0.31
2025-09-02,21670,21706.85,-0.17
2025-09-03,21620,21556.05,0.3
2025-09-04,21745,21729.28,0.07
2025-09-05,22015,21910.37,0.48
2025-09-08,21990,21924.71,0.3
2025-09-09,22030,21984.53,0.21
2025-09-10,22085,22035.43,0.22
2025-09-11,22150,22127.05,0.1
2025-09-12,22215,22202.17,0.06
2025-09-15,22320,22307.76,0.05
2025-09-16,22375,22332.1,0.19
2025-09-17,22335,22333.04,0.01
2025-09-18,22530,22410.68,0.53
2025-09-19,22715,22719.24,-0.02
2025-09-22,22810,22861.72,-0.23
2025-09-23,23000,22989.24,0.05
2025-09-24,22940,22901.68,0.17
2025-09-25,22880,22880.92,-0.0
2025-09-26,23005,22973.54,0.14
2025-09-29,22955,22850.26,0.46
2025-09-30,23035,23019.62,0.07
2025-10-01,22955,23089.24,-0.58
2025-10-02,23215,23150.13,0.28
2025-10-10,23825,23779.16,0.19
2025-10-13,23425,23025.18,1.74
2025-10-14,23425,23612.96,-0.8
2025-10-15,23415,23291.97,0.53
2025-10-16,23460,23392.86,0.29
2025-10-17,23190,23363.17,-0.74
2025-10-20,23595,23482.36,0.48
2025-10-21,23915,23931.51,-0.07
2025-10-22,23985,23951.99,0.14
2025-10-23,23910,23877.12,0.14
2025-10-24,24155,24043.54,0.46
2025-10-27,24480,24202.28,1.15
2025-10-28,24735,24746.53,-0.05
2025-10-29,24950,24763.07,0.75
2025-10-30,24735,24776.12,-0.17
2025-10-31,24670,24374.98,1.21
2025-11-03,24610,24568.33,0.17
2025-11-04,24520,24834.67,-1.27
2025-11-05,24475,24515.07,-0.16
2025-11-06,24610,24663.1,-0.22
2025-11-07,24430,24344.62,0.35
2025-11-10,24485,24185.2,1.24
2025-11-11,24890,24922.29,-0.13
2025-11-12,25010,24887.27,0.49
2025-11-13,25010,24905.2,0.42
2025-11-14,24195,24216.42,-0.09
2025-11-17,24405,24249.24,0.64
2025-11-18,24005,24167.55,-0.67
2025-11-19,23830,23883.37,-0.22
2025-11-20,24475,24055.45,1.74
2025-11-21,23620,23610.67,0.04
2025-11-24,23980,23817.6,0.68
2025-11-25,24335,24363.28,-0.12
2025-11-26,24490,24391.57,0.4
2025-11-27,24605,24593.87,0.05
2025-11-28,24750,24689.42,0.25
2025-12-01,24655,24872.38,-0.87
2025-12-02,24710,24757.14,-0.19
2025-12-03,25010,24958.16,0.21
2025-12-04,25095,25102.76,-0.03
2025-12-05,25095,24999.37,0.38
2025-12-08,25150,25076.74,0.29
2025-12-09,25095,25107.75,-0.05
2025-12-10,25120,25115.65,0.02
2025-12-11,24950,25265.55,-1.25
2025-12-12,25170,25189.75,-0.08
2025-12-15,24735,24663.59,0.29
2025-12-16,24435,24638.24,-0.82
2025-12-17,24760,24749.26,0.04
2025-12-18,24345,24246.82,0.4
2025-12-19,24615,24579.53,0.14
2025-12-22,25055,24962.02,0.37
2025-12-23,25110,25136.22,-0.1
2025-12-24,24700,24686.37,0.06
2025-12-26,24605,24589.46,0.06
2025-12-29,24405,24398.82,0.03
2025-12-30,24450,24441.6,0.03
2026-01-02,24425,24225.13,0.83
2026-01-05,24330,24218.23,0.46
2026-01-06,24520,24434.06,0.35
2026-01-07,24650,24668.65,-0.08
2026-01-08,24610,24764.12,-0.62
2026-01-09,24755,24741.27,0.06
2026-01-12,24950,25177.43,-0.9
2026-01-13,25250,25289.4,-0.16
2026-01-14,25245,25309.63,-0.26
2026-01-15,24980,24907.15,0.29
2026-01-16,25155,25052.3,0.41
2026-01-19,24815,25036.01,-0.88
2026-01-20,24750,25110.6,-1.44
2026-01-21,24555,24464.63,0.37
2026-01-22,24795,24772.87,0.09
2026-01-23,24955,24888.64,0.27
2026-01-26,24515,24544.52,-0.12
2026-01-27,24840,24741.86,0.4
2026-01-28,24755,24484.05,1.11
2026-01-29,24705,24628.63,0.31
2026-01-30,24495,24723.53,-0.92
2026-02-02,24405,24828.88,-1.71
2026-02-03,24815,24687.77,0.52
2026-02-04,24390,24384.78,0.02
2026-02-05,24280,24263.99,0.07
2026-02-06,23885,23938.18,-0.22
2026-02-09,24295,24298.7,-0.02
2026-02-10,24420,24465.81,-0.19
2026-02-11,24245,24181.0,0.26
2026-02-12,24130,24085.72,0.18
2026-02-13,23620,23671.49,-0.22
2026-02-19,23940,23889.68,0.21
2026-02-20,23900,23812.92,0.37
2026-02-23,23700,23910.67,-0.88
2026-02-24,23730,23662.8,0.28
2026-02-25,23715,23701.26,0.06
2026-02-26,23915,23974.03,-0.25
2026-02-27,23830,23926.05,-0.4
2026-03-03,24070,24328.09,-1.06
2026-03-04,24005,24229.75,-0.93
2026-03-05,24340,24459.57,-0.49
2026-03-06,24575,24526.08,0.2
2026-03-09,24080,24471.81,-1.6
2026-03-10,24330,24361.89,-0.13
2026-03-11,24335,24304.16,0.13
2026-03-12,24350,24554.93,-0.83
2026-03-13,24330,24333.91,-0.02
2026-03-16,24380,24246.31,0.55
2026-03-17,24325,24456.7,-0.54
2026-03-18,24580,24407.07,0.71
2026-03-19,24295,24346.81,-0.21
2026-03-20,24255,24273.57,-0.08
2026-03-23,23890,24085.6,-0.81
2026-03-24,23945,24025.37,-0.33
2026-03-25,24035,23912.1,0.51
2026-03-26,24090,24189.41,-0.41
2026-03-27,23795,23642.16,0.65
2026-03-30,23335,23291.0,0.19
2026-03-31,23515,23330.68,0.79
2026-04-01,23895,23676.93,0.92
2026-04-02,23835,24249.98,-1.71
2026-04-03,23995,24046.42,-0.21
2026-04-06,24065,24063.2,0.01
2026-04-07,24055,24176.19,-0.5
2026-04-08,24440,23646.77,3.35
2026-04-09,24490,24528.06,-0.16
2026-04-10,24680,24704.71,-0.1
2026-04-13,24675,24849.64,-0.7
2026-04-14,25005,24979.62,0.1
2026-04-15,25290,25309.94,-0.08
2026-04-16,25770,25671.9,0.38
2026-04-17,25905,25952.75,-0.18
2026-04-20,26010,26177.26,-0.64
2026-04-21,26050,25943.06,0.41
2026-04-22,26155,25966.64,0.73
2026-04-23,26415,26504.8,-0.34
2026-04-24,26550,26414.58,0.51
2026-04-27,26715,26710.26,0.02
2026-04-28,26660,26664.25,-0.02
2026-04-29,26600,26491.15,0.41
2026-04-30,26645,26723.48,-0.29
2026-05-04,26945,26862.34,0.31
2026-05-06,27210,27016.67,0.72
2026-05-07,27560,27558.9,0.0
2026-05-08,27975,27859.27,0.42
2026-05-11,28535,28528.77,0.02
2026-05-12,28765,28954.25,-0.65
2026-05-13,28875,28714.93,0.56
