,종가,NAV,괴리율
2025-08-04,42625,42601.94,0.05
2025-08-05,43205,43243.75,-0.09
2025-08-06,43180,43193.2,-0.03
2025-08-07,43550,43659.62,-0.25
2025-08-08,43445,43494.38,-0.11
2025-08-11,43455,43476.73,-0.05
2025-08-12,43315,43309.6,0.01
2025-08-13,43760,43836.66,-0.17
2025-08-14,43720,43806.34,-0.2
2025-08-18,43060,43065.18,-0.01
2025-08-19,42755,42762.28,-0.02
2025-08-20,42500,42511.54,-0.03
2025-08-21,42605,42594.39,0.02
2025-08-22,42960,43000.38,-0.09
2025-08-25,43485,43536.64,-0.12
2025-08-26,43075,43096.79,-0.05
2025-08-27,43145,43185.09,-0.09
2025-08-28,43365,43361.45,0.01
2025-08-29,43200,43190.04,0.02
2025-09-01,42475,42508.27,-0.08
2025-09-02,42925,42991.17,-0.15
2025-09-03,43140,43212.09,-0.17
2025-09-04,43300,43407.16,-0.25
2025-09-05,43475,43467.48,0.02
2025-09-08,43645,43665.87,-0.05
2025-09-09,44240,44307.53,-0.15
2025-09-10,45170,45185.7,-0.03
2025-09-11,45465,45582.87,-0.26
2025-09-12,46385,46459.96,-0.16
2025-09-15,46660,46651.13,0.02
2025-09-16,47420,47471.07,-0.11
2025-09-17,46840,46883.96,-0.09
2025-09-18,47660,47718.77,-0.12
2025-09-19,47485,47530.0,-0.09
2025-09-22,47950,48017.24,-0.14
2025-09-23,48335,48343.89,-0.02
2025-09-24,48185,48223.56,-0.08
2025-09-25,48200,48248.61,-0.1
2025-09-26,47045,46987.97,0.12
2025-09-29,47765,47762.91,0.0
2025-09-30,47635,47639.83,-0.01
2025-10-01,48135,48176.13,-0.09
2025-10-02,49570,49579.47,-0.02
2025-10-10,50830,50941.86,-0.22
2025-10-13,50365,50431.38,-0.13
2025-10-14,49855,49929.02,-0.15
2025-10-15,51240,51298.76,-0.11
2025-10-16,52585,52687.81,-0.2
2025-10-17,52735,52795.34,-0.11
2025-10-20,53700,53778.19,-0.15
2025-10-21,53815,53779.68,0.07
2025-10-22,54425,54507.79,-0.15
2025-10-23,53850,53884.76,-0.06
2025-10-24,55255,55250.89,0.01
2025-10-27,56775,56821.82,-0.08
2025-10-28,56210,56204.43,0.01
2025-10-29,57385,57268.7,0.2
2025-10-30,57445,57635.35,-0.33
2025-10-31,58145,58064.34,0.14
2025-11-03,59930,60025.65,-0.16
2025-11-04,58280,58321.52,-0.07
2025-11-05,56665,56664.78,0.0
2025-11-06,56975,56965.0,0.02
2025-11-07,55945,55925.13,0.04
2025-11-10,57655,57663.31,-0.01
2025-11-11,58195,58283.28,-0.15
2025-11-12,58800,58816.44,-0.03
2025-11-13,59070,59019.81,0.09
2025-11-14,56510,56493.15,0.03
2025-11-17,57715,57814.98,-0.17
2025-11-18,55800,55789.33,0.02
2025-11-19,55410,55413.79,-0.01
2025-11-20,56600,56569.66,0.05
2025-11-21,54225,54180.37,0.08
2025-11-24,54210,54265.04,-0.1
2025-11-25,54605,54654.28,-0.09
2025-11-26,56080,56132.98,-0.09
2025-11-27,56475,56552.85,-0.14
2025-11-28,55650,55623.18,0.05
2025-12-01,55575,55610.2,-0.06
2025-12-02,56675,56787.23,-0.2
2025-12-03,57295,57299.66,-0.01
2025-12-04,57150,57195.34,-0.08
2025-12-05,58240,58300.58,-0.1
2025-12-08,59020,59140.65,-0.2
2025-12-09,58705,58799.57,-0.16
2025-12-10,58680,58776.11,-0.16
2025-12-11,58200,58221.86,-0.04
2025-12-12,58995,59013.5,-0.03
2025-12-15,57655,57668.15,-0.02
2025-12-16,56400,56365.41,0.06
2025-12-17,57490,57480.05,0.02
2025-12-18,56820,56782.46,0.07
2025-12-19,57120,57053.95,0.12
2025-12-22,58425,58492.62,-0.12
2025-12-23,58595,58685.12,-0.15
2025-12-24,58610,58646.61,-0.06
2025-12-26,59110,59230.83,-0.2
2025-12-29,60720,60938.7,-0.36
2025-12-30,60895,60968.35,-0.12
2026-01-02,62660,62795.12,-0.22
2026-01-05,65040,65259.32,-0.34
2026-01-06,66210,66331.88,-0.18
2026-01-07,66720,66835.82,-0.17
2026-01-08,66620,66801.07,-0.27
2026-01-09,67180,67212.51,-0.05
