,종가,NAV,괴리율
2025-08-05,11755,11722.47,0.28
2025-08-06,11670,11644.02,0.22
2025-08-07,11730,11704.3,0.22
2025-08-08,11720,11730.11,-0.09
2025-08-11,11800,11810.72,-0.09
2025-08-12,11780,11801.48,-0.18
2025-08-13,11865,11869.6,-0.04
2025-08-14,11785,11854.24,-0.58
2025-08-18,11780,11857.94,-0.66
2025-08-19,11875,11919.64,-0.37
2025-08-20,11800,11833.75,-0.29
2025-08-21,11785,11787.26,-0.02
2025-08-22,11670,11690.15,-0.17
2025-08-25,11805,11803.85,0.01
2025-08-26,11860,11878.3,-0.15
2025-08-27,11965,11954.41,0.09
2025-08-28,11880,11895.61,-0.13
2025-08-29,11935,11978.58,-0.36
2025-09-01,11855,11867.94,-0.11
2025-09-02,11850,11844.92,0.04
2025-09-03,11785,11760.17,0.21
2025-09-04,11895,11881.42,0.11
2025-09-05,12000,11979.75,0.17
2025-09-08,11960,11961.02,-0.01
2025-09-09,12015,11998.28,0.14
2025-09-10,12085,12042.27,0.35
2025-09-11,12200,12206.02,-0.05
2025-09-12,12250,12236.72,0.11
2025-09-15,12275,12261.13,0.11
2025-09-16,12310,12283.96,0.21
2025-09-17,12295,12270.07,0.2
2025-09-18,12290,12279.49,0.09
2025-09-19,12415,12412.98,0.02
2025-09-22,12500,12490.74,0.07
2025-09-23,12605,12577.76,0.22
2025-09-24,12480,12489.1,-0.07
2025-09-25,12485,12470.41,0.12
2025-09-26,12500,12500.33,-0.0
2025-09-29,12450,12433.07,0.14
2025-09-30,12530,12503.08,0.22
2025-10-01,12540,12565.07,-0.2
2025-10-02,12585,12588.46,-0.03
2025-10-10,12845,12869.11,-0.19
2025-10-13,12520,12517.95,0.02
2025-10-14,12820,12825.73,-0.04
2025-10-15,12640,12638.82,0.01
2025-10-16,12660,12665.57,-0.04
2025-10-17,12440,12634.55,-1.54
2025-10-20,12675,12674.95,0.0
2025-10-21,12820,12872.99,-0.41
2025-10-22,12865,12864.37,0.0
2025-10-23,12880,12879.52,0.0
2025-10-24,12950,12952.14,-0.02
2025-10-27,13035,13028.91,0.05
2025-10-28,13250,13292.03,-0.32
2025-10-29,13335,13316.87,0.14
2025-10-30,13285,13340.96,-0.42
2025-10-31,13255,13133.7,0.92
2025-11-03,13240,13206.64,0.25
2025-11-04,13295,13352.53,-0.43
2025-11-05,13210,13227.62,-0.13
2025-11-06,13245,13257.79,-0.1
2025-11-07,13150,13142.41,0.06
2025-11-10,13125,13071.2,0.41
2025-11-11,13445,13475.86,-0.23
2025-11-12,13435,13459.11,-0.18
2025-11-13,13460,13447.14,0.1
2025-11-14,13020,13058.27,-0.29
2025-11-17,13140,13083.42,0.43
2025-11-18,13010,13052.8,-0.33
2025-11-19,12880,12906.18,-0.2
2025-11-20,13200,13048.22,1.16
2025-11-21,12850,12888.3,-0.3
2025-11-24,12995,12984.8,0.08
2025-11-25,13250,13253.97,-0.03
2025-11-26,13315,13299.2,0.12
2025-11-27,13375,13377.42,-0.02
2025-11-28,13415,13429.2,-0.11
2025-12-01,13375,13471.8,-0.72
2025-12-02,13390,13384.39,0.04
2025-12-03,13445,13427.36,0.13
2025-12-04,13505,13495.54,0.07
2025-12-05,13525,13505.66,0.14
2025-12-08,13535,13535.85,-0.01
2025-12-09,13545,13536.79,0.06
2025-12-10,13530,13509.63,0.15
2025-12-11,13440,13591.78,-1.12
2025-12-12,13530,13582.87,-0.39
2025-12-15,13365,13344.99,0.15
2025-12-16,13260,13362.37,-0.77
2025-12-17,13380,13409.3,-0.22
2025-12-18,13155,13137.86,0.13
2025-12-19,13280,13278.44,0.01
2025-12-22,13450,13478.29,-0.21
2025-12-23,13590,13608.0,-0.13
2025-12-24,13400,13407.38,-0.06
2025-12-26,13355,13348.85,0.05
2025-12-29,13245,13248.41,-0.03
2025-12-30,13255,13268.22,-0.1
2026-01-02,13250,13175.68,0.56
2026-01-05,13225,13204.29,0.16
2026-01-06,13285,13266.75,0.14
2026-01-07,13340,13342.04,-0.02
2026-01-08,13350,13416.79,-0.5
2026-01-09,13330,13372.39,-0.32
2026-01-12,13480,13570.27,-0.67
2026-01-13,13610,13667.48,-0.42
2026-01-14,13630,13679.06,-0.36
2026-01-15,13455,13440.3,0.11
2026-01-16,13530,13519.97,0.07
2026-01-19,13420,13533.65,-0.84
2026-01-20,13405,13573.95,-1.24
2026-01-21,13250,13181.81,0.52
2026-01-22,13295,13297.25,-0.02
2026-01-23,13385,13364.64,0.15
2026-01-26,13165,13192.34,-0.21
2026-01-27,13360,13326.32,0.25
2026-01-28,13275,13210.46,0.49
2026-01-29,13245,13261.42,-0.12
2026-01-30,13185,13317.62,-1.0
2026-02-02,13185,13423.07,-1.77
2026-02-03,13325,13292.82,0.24
2026-02-04,13105,13122.95,-0.14
2026-02-05,13000,13055.34,-0.42
2026-02-06,12780,12859.47,-0.62
2026-02-09,13065,13101.53,-0.28
2026-02-10,13155,13233.82,-0.6
2026-02-11,13100,13073.75,0.2
2026-02-12,12995,12959.49,0.27
2026-02-13,12740,12774.96,-0.27
2026-02-19,12870,12852.88,0.13
2026-02-20,12875,12839.19,0.28
2026-02-23,12790,12899.44,-0.85
2026-02-24,12785,12762.43,0.18
2026-02-25,12750,12743.36,0.05
2026-02-26,12785,12885.76,-0.78
2026-02-27,12735,12854.96,-0.93
2026-03-03,12770,12995.41,-1.73
2026-03-04,12860,12961.2,-0.78
2026-03-05,12905,13038.09,-1.02
2026-03-06,13000,13098.16,-0.75
2026-03-09,12780,13061.92,-2.16
2026-03-10,12980,13029.05,-0.38
2026-03-11,13010,13007.63,0.02
2026-03-12,12955,13149.55,-1.48
2026-03-13,12950,13034.23,-0.65
2026-03-16,12950,12934.29,0.12
2026-03-17,12985,13064.33,-0.61
2026-03-18,12990,12996.34,-0.05
2026-03-19,12900,12989.74,-0.69
