,종가,NAV,괴리율
2025-07-30,44770,44848.9,-0.18
2025-07-31,44640,44732.1,-0.21
2025-08-01,42855,42914.41,-0.14
2025-08-04,43345,43335.01,0.02
2025-08-05,43960,43991.24,-0.07
2025-08-06,43915,43933.19,-0.04
2025-08-07,44320,44411.8,-0.21
2025-08-08,44210,44241.35,-0.07
2025-08-11,44250,44225.59,0.06
2025-08-12,44050,44056.06,-0.01
2025-08-13,44530,44593.76,-0.14
2025-08-14,44470,44561.67,-0.21
2025-08-18,43810,43812.16,-0.0
2025-08-19,43485,43503.72,-0.04
2025-08-20,43230,43243.6,-0.03
2025-08-21,43320,43331.1,-0.03
2025-08-22,43700,43744.38,-0.1
2025-08-25,44235,44293.03,-0.13
2025-08-26,43825,43843.27,-0.04
2025-08-27,43905,43935.24,-0.07
2025-08-28,44115,44111.89,0.01
2025-08-29,43950,43939.55,0.02
2025-09-01,43230,43247.21,-0.04
2025-09-02,43670,43736.21,-0.15
2025-09-03,43895,43963.01,-0.15
2025-09-04,43995,44161.67,-0.38
2025-09-05,44230,44225.03,0.01
2025-09-08,44425,44426.97,-0.0
2025-09-09,45015,45079.43,-0.14
2025-09-10,45945,45973.53,-0.06
2025-09-11,46260,46378.6,-0.26
2025-09-12,47225,47271.24,-0.1
2025-09-15,47485,47467.12,0.04
2025-09-16,48240,48300.08,-0.12
2025-09-17,47650,47703.66,-0.11
2025-09-18,48465,48551.77,-0.18
2025-09-19,48270,48360.86,-0.19
2025-09-22,48790,48853.76,-0.13
2025-09-23,49165,49186.8,-0.04
2025-09-24,49015,49067.25,-0.11
2025-09-25,49020,49093.29,-0.15
2025-09-26,47860,47811.5,0.1
2025-09-29,48595,48599.73,-0.01
2025-09-30,48460,48478.34,-0.04
2025-10-01,48995,49020.21,-0.05
2025-10-02,50380,50456.3,-0.15
2025-10-10,51710,51830.06,-0.23
2025-10-13,51225,51310.19,-0.17
2025-10-14,50715,50807.24,-0.18
2025-10-15,52115,52199.48,-0.16
2025-10-16,53495,53609.16,-0.21
2025-10-17,53625,53718.09,-0.17
2025-10-20,54620,54716.81,-0.18
2025-10-21,54755,54718.1,0.07
2025-10-22,55395,55463.85,-0.12
2025-10-23,54800,54828.58,-0.05
2025-10-24,56220,56217.97,0.0
2025-10-27,57765,57813.26,-0.08
2025-10-28,57205,57187.2,0.03
2025-10-29,58400,58267.21,0.23
2025-10-30,58465,58638.14,-0.3
2025-10-31,59115,59080.1,0.06
2025-11-03,60940,61077.62,-0.23
2025-11-04,59265,59343.95,-0.13
2025-11-05,57660,57653.41,0.01
2025-11-06,57995,57959.84,0.06
2025-11-07,56915,56902.42,0.02
2025-11-10,58635,58670.84,-0.06
2025-11-11,59215,59297.56,-0.14
2025-11-12,59845,59841.43,0.01
2025-11-13,60110,60051.0,0.1
2025-11-14,57460,57474.4,-0.03
2025-11-17,58720,58819.57,-0.17
2025-11-18,56785,56765.17,0.03
2025-11-19,56355,56380.75,-0.05
2025-11-20,57590,57558.13,0.06
2025-11-21,55140,55126.48,0.02
2025-11-24,55200,55221.23,-0.04
2025-11-25,55585,55610.61,-0.05
2025-11-26,57060,57112.37,-0.09
2025-11-27,57460,57536.74,-0.13
2025-11-28,56665,56591.78,0.13
2025-12-01,56565,56579.45,-0.03
2025-12-02,57655,57777.41,-0.21
2025-12-03,58290,58298.54,-0.01
2025-12-04,58140,58193.0,-0.09
2025-12-05,59245,59317.71,-0.12
2025-12-08,60045,60169.15,-0.21
2025-12-09,59730,59821.99,-0.15
2025-12-10,59675,59797.79,-0.21
2025-12-11,59130,59262.34,-0.22
2025-12-12,60035,60053.02,-0.03
2025-12-15,58665,58686.15,-0.04
2025-12-16,57375,57368.05,0.01
2025-12-17,58500,58495.11,0.01
2025-12-18,57820,57785.94,0.06
2025-12-19,58090,58070.87,0.03
2025-12-22,59485,59521.88,-0.06
2025-12-23,59680,59714.69,-0.06
2025-12-24,59655,59674.43,-0.03
2025-12-26,60175,60265.61,-0.15
2025-12-29,61800,61989.93,-0.31
2025-12-30,62135,62030.31,0.17
2026-01-02,63760,63877.24,-0.18
2026-01-05,66155,66370.45,-0.32
2026-01-06,67340,67469.0,-0.19
2026-01-07,67850,67979.97,-0.19
2026-01-08,67790,67962.69,-0.25
2026-01-09,68320,68381.69,-0.09
2026-01-12,68785,68844.27,-0.09
2026-01-13,69665,69649.49,0.02
2026-01-14,70050,70166.15,-0.17
2026-01-15,71215,71254.77,-0.06
2026-01-16,72040,72094.68,-0.08
2026-01-19,73025,73050.96,-0.04
2026-01-20,72455,72481.65,-0.04
2026-01-21,72990,73148.24,-0.22
2026-01-22,73800,73907.37,-0.15
2026-01-23,74250,74413.24,-0.22
2026-01-26,73545,73670.73,-0.17
2026-01-27,76060,76239.23,-0.24
2026-01-28,77440,77458.49,-0.02
2026-01-29,78285,78158.4,0.16
2026-01-30,78500,78488.64,0.01
2026-02-02,73960,74082.09,-0.16
2026-02-03,79570,79605.0,-0.04
2026-02-04,80650,80715.83,-0.08
2026-02-05,77320,77309.21,0.01
2026-02-06,76385,76402.09,-0.02
2026-02-09,79700,79758.83,-0.07
2026-02-10,79700,79737.32,-0.05
2026-02-11,80430,80541.89,-0.14
2026-02-12,83305,83358.57,-0.06
2026-02-13,83210,83190.18,0.02
2026-02-19,85730,85814.62,-0.1
2026-02-20,87690,87796.57,-0.12
2026-02-23,88360,88402.23,-0.05
2026-02-24,90535,90593.62,-0.06
2026-02-25,92360,92338.6,0.02
2026-02-26,96605,96636.46,-0.03
2026-02-27,95585,95539.42,0.05
2026-03-03,88110,87956.26,0.17
2026-03-04,77220,77448.41,-0.29
2026-03-05,84835,85033.05,-0.23
2026-03-06,84630,84821.39,-0.23
2026-03-09,79280,79340.07,-0.08
2026-03-10,84165,84211.42,-0.06
2026-03-11,85115,85346.81,-0.27
2026-03-12,84630,84658.32,-0.03
2026-03-13,82915,83173.07,-0.31
2026-03-16,84305,84598.84,-0.35
2026-03-17,86140,86047.6,0.11
2026-03-18,90895,90927.39,-0.04
2026-03-19,88215,88255.17,-0.05
2026-03-20,88040,88261.55,-0.25
2026-03-23,82370,82367.51,0.0
2026-03-24,84905,84764.23,0.17
2026-03-25,85860,85892.03,-0.04
2026-03-26,82910,82866.42,0.05
2026-03-27,82515,82483.56,0.04
2026-03-30,80040,80058.9,-0.02
2026-03-31,76510,76417.72,0.12
2026-04-01,83490,83518.94,-0.03
2026-04-02,79420,79503.13,-0.1
2026-04-03,81845,81937.65,-0.11
2026-04-06,82920,83318.0,-0.48
2026-04-07,84095,84262.69,-0.2
2026-04-08,90315,90607.12,-0.32
2026-04-09,88770,88851.3,-0.09
2026-04-10,90145,90197.09,-0.06
2026-04-13,89370,89364.08,0.01
2026-04-14,91920,92073.25,-0.17
2026-04-15,94200,94095.27,0.11
2026-04-16,96280,96270.42,0.01
2026-04-17,95580,95606.13,-0.03
2026-04-20,96070,96051.96,0.02
2026-04-21,98565,98771.32,-0.21
2026-04-22,98990,99000.74,-0.01
2026-04-23,100060,100163.91,-0.1
2026-04-24,99620,99752.85,-0.13
2026-04-27,102035,102162.89,-0.13
2026-04-28,102345,102040.8,0.3
2026-04-29,102680,102818.44,-0.13
