,종가,NAV,괴리율
2025-08-05,1073845,1073785.05,0.01
2025-08-06,1073920,1073852.69,0.01
2025-08-07,1074135,1073981.11,0.01
2025-08-08,1074210,1074152.58,0.01
2025-08-11,1074285,1074224.25,0.01
2025-08-12,1074360,1074296.29,0.01
2025-08-13,1074645,1074445.41,0.02
2025-08-14,1074720,1074673.51,0.0
2025-08-18,1074795,1074741.44,0.0
2025-08-19,1074870,1074817.54,0.0
2025-08-20,1074945,1074885.36,0.01
2025-08-21,1075165,1074995.85,0.02
2025-08-22,1075240,1075178.81,0.01
2025-08-25,1075315,1075251.74,0.01
2025-08-26,1075390,1075323.12,0.01
2025-08-27,1075465,1073098.06,0.22
2025-08-28,1073395,1073211.58,0.02
2025-08-29,1073470,1073381.96,0.01
2025-09-01,1073545,1073463.01,0.01
2025-09-02,1073620,1073535.85,0.01
2025-09-03,1073695,1073608.72,0.01
2025-09-04,1073910,1073721.64,0.02
2025-09-05,1073985,1073897.78,0.01
2025-09-08,1074060,1073975.75,0.01
2025-09-09,1074135,1074050.31,0.01
2025-09-10,1074210,1074130.21,0.01
2025-09-11,1074425,1074244.08,0.02
2025-09-12,1074500,1074431.82,0.01
2025-09-15,1074575,1074505.02,0.01
2025-09-16,1074650,1074579.4,0.01
2025-09-17,1074720,1074655.25,0.01
2025-09-18,1074930,1074771.91,0.01
2025-09-19,1075005,1074949.25,0.01
2025-09-22,1075080,1075029.64,0.0
2025-09-23,1075155,1075099.67,0.01
2025-09-24,1075230,1075186.05,0.0
2025-09-25,1075445,1075304.36,0.01
2025-09-26,1075515,1073131.47,0.22
2025-09-29,1073235,1073191.9,0.0
2025-09-30,1073310,1073271.31,0.0
2025-10-01,1073880,1073504.45,0.03
2025-10-02,1074095,1074003.84,0.01
2025-10-10,1074170,1074194.39,-0.0
2025-10-13,1074245,1074262.16,-0.0
2025-10-14,1074320,1074332.42,-0.0
2025-10-15,1074395,1074412.18,-0.0
2025-10-16,1074615,1074545.96,0.01
2025-10-17,1074695,1074714.67,-0.0
2025-10-20,1074775,1074788.76,-0.0
2025-10-21,1074855,1074862.2,-0.0
2025-10-22,1074930,1074935.8,-0.0
2025-10-23,1075160,1075040.44,0.01
2025-10-24,1075240,1075223.29,0.0
2025-10-27,1075320,1075301.58,0.0
2025-10-28,1075400,1075370.95,0.0
2025-10-29,1075480,1073248.77,0.21
2025-10-30,1073515,1073373.37,0.01
2025-10-31,1073595,1073543.86,0.0
2025-11-03,1073670,1073622.37,0.0
2025-11-04,1073750,1073688.8,0.01
2025-11-05,1073830,1073764.27,0.01
2025-11-06,1074050,1073912.59,0.01
2025-11-07,1074125,1074064.77,0.01
2025-11-10,1074200,1074140.8,0.01
2025-11-11,1074275,1074206.63,0.01
2025-11-12,1074350,1074274.52,0.01
2025-11-13,1074570,1074397.08,0.02
2025-11-14,1074645,1074570.7,0.01
2025-11-17,1074720,1074644.3,0.01
2025-11-18,1074795,1074726.17,0.01
2025-11-19,1074875,1074792.15,0.01
2025-11-20,1075100,1074922.15,0.02
2025-11-21,1075170,1075096.47,0.01
2025-11-24,1075245,1075163.28,0.01
2025-11-25,1075320,1075250.83,0.01
2025-11-26,1075400,1073001.14,0.22
2025-11-27,1073305,1073128.81,0.02
2025-11-28,1073380,1073321.08,0.01
2025-12-01,1073455,1073406.3,0.0
2025-12-02,1073540,1073483.1,0.01
2025-12-03,1073625,1073556.91,0.01
2025-12-04,1073870,1073677.99,0.02
2025-12-05,1073950,1073877.65,0.01
2025-12-08,1074030,1073958.87,0.01
2025-12-09,1074115,1074047.46,0.01
2025-12-10,1074200,1074133.98,0.01
2025-12-11,1074450,1074267.59,0.02
2025-12-12,1074535,1074464.28,0.01
2025-12-15,1074615,1074549.37,0.01
2025-12-16,1074695,1074633.99,0.01
2025-12-17,1074780,1074717.62,0.01
2025-12-18,1075030,1074855.34,0.02
2025-12-19,1075115,1075054.85,0.01
2025-12-22,1075200,1075141.71,0.01
