,종가,NAV,괴리율
2025-08-06,9455,9440.26,0.16
2025-08-07,9525,9504.91,0.21
2025-08-08,9580,9593.23,-0.14
2025-08-11,9635,9651.79,-0.17
2025-08-12,9610,9634.36,-0.25
2025-08-13,9670,9701.12,-0.32
2025-08-14,9680,9709.07,-0.3
2025-08-18,9670,9677.41,-0.08
2025-08-19,9685,9722.28,-0.38
2025-08-20,9620,9641.66,-0.22
2025-08-21,9625,9588.1,0.38
2025-08-22,9505,9522.01,-0.18
2025-08-25,9590,9567.79,0.23
2025-08-26,9595,9615.86,-0.22
2025-08-27,9670,9500.57,1.78
2025-08-28,9460,9460.69,-0.01
2025-08-29,9515,9554.97,-0.42
2025-09-01,9435,9460.34,-0.27
2025-09-02,9435,9443.85,-0.09
2025-09-03,9405,9379.91,0.27
2025-09-04,9455,9452.53,0.03
2025-09-05,9510,9504.82,0.05
2025-09-08,9535,9522.73,0.13
2025-09-09,9560,9552.57,0.08
2025-09-10,9585,9576.9,0.08
2025-09-11,9615,9618.82,-0.04
2025-09-12,9645,9655.34,-0.11
2025-09-15,9710,9702.31,0.08
2025-09-16,9730,9713.43,0.17
2025-09-17,9720,9713.89,0.06
2025-09-18,9805,9751.33,0.55
2025-09-19,9895,9892.24,0.03
2025-09-22,9940,9957.77,-0.18
2025-09-23,10020,10015.92,0.04
2025-09-24,10000,9979.15,0.21
2025-09-25,9965,9970.52,-0.06
2025-09-26,10030,9849.49,1.83
2025-09-29,9865,9811.98,0.54
2025-09-30,9890,9891.18,-0.01
2025-10-01,9860,9924.33,-0.65
2025-10-02,9940,9950.87,-0.11
2025-10-10,10180,10197.27,-0.17
2025-10-13,10020,9877.22,1.45
2025-10-14,10035,10127.86,-0.92
2025-10-15,10055,9997.96,0.57
2025-10-16,10070,10038.04,0.32
2025-10-17,10010,10041.45,-0.31
2025-10-20,10160,10109.3,0.5
2025-10-21,10255,10274.21,-0.19
2025-10-22,10295,10286.23,0.09
2025-10-23,10285,10253.31,0.31
2025-10-24,10380,10296.92,0.81
2025-10-27,10485,10369.61,1.11
2025-10-28,10510,10533.91,-0.23
2025-10-29,10610,10399.46,2.02
2025-10-30,10370,10423.72,-0.52
2025-10-31,10370,10267.24,1.0
2025-11-03,10345,10351.91,-0.07
2025-11-04,10345,10474.2,-1.23
2025-11-05,10310,10342.19,-0.31
2025-11-06,10380,10406.36,-0.25
2025-11-07,10315,10273.35,0.41
2025-11-10,10290,10212.26,0.76
2025-11-11,10355,10358.49,-0.03
2025-11-12,10380,10354.09,0.25
2025-11-13,10425,10363.84,0.59
2025-11-14,10070,10089.02,-0.19
2025-11-17,10195,10124.99,0.69
2025-11-18,10055,10099.32,-0.44
2025-11-19,9985,10003.77,-0.19
2025-11-20,10230,10083.09,1.46
2025-11-21,9990,9953.62,0.37
2025-11-24,10125,10063.89,0.61
2025-11-25,10220,10229.86,-0.1
2025-11-26,10330,10086.41,2.42
2025-11-27,10185,10163.94,0.21
2025-11-28,10220,10203.37,0.16
2025-12-01,10190,10284.71,-0.92
2025-12-02,10230,10246.87,-0.16
2025-12-03,10335,10331.0,0.04
2025-12-04,10370,10393.71,-0.23
2025-12-05,10400,10352.01,0.46
2025-12-08,10420,10386.9,0.32
2025-12-09,10415,10401.85,0.13
2025-12-10,10400,10413.28,-0.13
2025-12-11,10360,10478.06,-1.13
2025-12-12,10450,10460.81,-0.1
2025-12-15,10290,10252.11,0.37
2025-12-16,10160,10246.68,-0.85
2025-12-17,10315,10295.82,0.19
2025-12-18,10145,10098.49,0.46
2025-12-19,10265,10229.92,0.34
2025-12-22,10420,10372.97,0.45
2025-12-23,10440,10447.28,-0.07
2025-12-24,10455,10270.02,1.8
2025-12-26,10315,10056.96,2.57
2025-12-29,10050,9979.01,0.71
2025-12-30,10030,9993.84,0.36
2026-01-02,10010,9907.26,1.04
2026-01-05,9980,9903.45,0.77
2026-01-06,10035,9994.77,0.4
2026-01-07,10090,10093.0,-0.03
2026-01-08,10070,10132.43,-0.62
2026-01-09,10130,10123.11,0.07
2026-01-12,10210,10291.21,-0.79
2026-01-13,10300,10338.14,-0.37
2026-01-14,10325,10345.96,-0.2
2026-01-15,10230,10189.46,0.4
2026-01-16,10305,10263.71,0.4
2026-01-19,10205,10258.42,-0.52
2026-01-20,10155,10288.48,-1.3
2026-01-21,10065,10026.88,0.38
2026-01-22,10175,10151.02,0.24
2026-01-23,10200,10177.3,0.22
2026-01-26,10050,10041.44,0.09
2026-01-27,10170,10119.84,0.5
2026-01-28,10125,9879.48,2.49
2026-01-29,9975,9940.56,0.35
2026-01-30,9905,9994.85,-0.9
2026-02-02,9840,10063.21,-2.22
2026-02-03,10055,10009.84,0.45
2026-02-04,9930,9889.75,0.41
2026-02-05,9895,9883.52,0.12
2026-02-06,9800,9797.41,0.03
2026-02-09,9910,9894.73,0.15
2026-02-10,9935,9969.55,-0.35
2026-02-11,9890,9857.93,0.33
2026-02-12,9865,9823.15,0.43
2026-02-13,9675,9655.0,0.21
2026-02-19,9795,9767.77,0.28
2026-02-20,9780,9739.61,0.41
2026-02-23,9730,9789.74,-0.61
2026-02-24,9730,9691.2,0.4
2026-02-25,9770,9543.94,2.37
2026-02-26,9580,9622.11,-0.44
2026-02-27,9545,9617.84,-0.76
2026-03-03,9680,9805.09,-1.28
2026-03-04,9665,9773.16,-1.11
2026-03-05,9780,9837.67,-0.59
2026-03-06,9880,9869.41,0.11
2026-03-09,9720,9894.21,-1.76
2026-03-10,9845,9864.59,-0.2
2026-03-11,9885,9880.99,0.04
2026-03-12,9890,9986.61,-0.97
2026-03-13,9910,9912.18,-0.02
2026-03-16,9945,9890.25,0.55
2026-03-17,9950,9983.43,-0.33
2026-03-18,10035,9966.92,0.68
2026-03-19,9930,9942.77,-0.13
2026-03-20,9915,9912.37,0.03
2026-03-23,9780,9864.24,-0.85
2026-03-24,9825,9861.71,-0.37
2026-03-25,9885,9823.62,0.62
2026-03-26,9915,9950.75,-0.36
2026-03-27,9950,9564.09,4.03
2026-03-30,9465,9444.04,0.22
2026-03-31,9570,9493.95,0.8
2026-04-01,9535,9443.59,0.97
2026-04-02,9485,9631.48,-1.52
2026-04-03,9570,9568.83,0.01
2026-04-06,9585,9572.7,0.13
2026-04-07,9595,9657.54,-0.65
2026-04-08,9655,9469.33,1.96
2026-04-09,9620,9639.18,-0.2
2026-04-10,9700,9714.56,-0.15
2026-04-13,9705,9778.89,-0.76
2026-04-14,9830,9827.46,0.03
2026-04-15,9855,9836.52,0.19
2026-04-16,9940,9926.03,0.14
2026-04-17,10005,10038.37,-0.33
2026-04-20,10005,10084.93,-0.79
2026-04-21,10045,10007.64,0.37
2026-04-22,10105,10018.94,0.86
2026-04-23,10170,10189.57,-0.19
2026-04-24,10215,10163.59,0.51
2026-04-27,10280,10186.69,0.92
2026-04-28,10340,10035.21,3.04
2026-04-29,10045,9973.29,0.72
2026-04-30,10010,10099.43,-0.89
2026-05-04,10155,10143.51,0.11
2026-05-06,10170,10185.47,-0.15
2026-05-07,10230,10297.15,-0.65
2026-05-08,10385,10421.51,-0.35
2026-05-11,10475,10540.49,-0.62
2026-05-12,10590,10718.93,-1.2
2026-05-13,10675,10634.99,0.38
2026-05-14,10750,10690.16,0.56
2026-05-15,10715,10848.61,-1.23
2026-05-18,10610,10693.55,-0.78
2026-05-19,10650,10708.36,-0.54
2026-05-20,10705,10655.98,0.46
2026-05-21,10850,10827.18,0.21
2026-05-22,11015,10956.24,0.54
2026-05-26,11240,10917.55,2.95
2026-05-27,11125,10874.41,2.3
2026-05-28,10880,10885.96,-0.05
2026-05-29,10980,11021.28,-0.37
