,종가,NAV,괴리율
2025-08-06,8630,8593.76,0.42
2025-08-07,8565,8535.64,0.34
2025-08-08,8615,8581.76,0.39
2025-08-11,8620,8610.49,0.11
2025-08-12,8610,8611.05,-0.01
2025-08-13,8660,8672.83,-0.15
2025-08-14,8770,8803.5,-0.38
2025-08-18,8780,8807.51,-0.31
2025-08-19,8805,8835.07,-0.34
2025-08-20,8890,8939.67,-0.56
2025-08-21,8915,8940.65,-0.29
2025-08-22,8895,8906.64,-0.13
2025-08-25,9020,9016.13,0.04
2025-08-26,9025,9036.37,-0.13
2025-08-27,9030,8900.08,1.46
2025-08-28,8915,8891.42,0.27
2025-08-29,8870,8879.18,-0.1
2025-09-01,8890,8943.23,-0.6
2025-09-02,8920,8925.87,-0.07
2025-09-03,8895,8913.83,-0.21
2025-09-04,8860,8854.71,0.06
2025-09-05,8915,8901.74,0.15
2025-09-08,8895,8864.55,0.34
2025-09-09,8845,8812.47,0.37
2025-09-10,8820,8807.83,0.14
2025-09-11,8855,8854.72,0.0
2025-09-12,8930,8932.34,-0.03
2025-09-15,8885,8864.0,0.24
2025-09-16,8780,8746.18,0.39
2025-09-17,8775,8773.95,0.01
2025-09-18,8860,8845.91,0.16
2025-09-19,8860,8881.34,-0.24
2025-09-22,8830,8823.8,0.07
2025-09-23,8815,8796.75,0.21
2025-09-24,8870,8886.05,-0.18
2025-09-25,8905,8917.91,-0.14
2025-09-26,8945,8823.44,1.38
2025-09-29,8825,8810.27,0.17
2025-09-30,8765,8790.61,-0.29
2025-10-01,8770,8813.33,-0.49
2025-10-02,8790,8823.82,-0.38
2025-10-10,8785,8834.01,-0.55
2025-10-13,8740,8699.6,0.46
2025-10-14,8750,8807.82,-0.66
2025-10-15,8785,8817.63,-0.37
2025-10-16,8780,8774.39,0.06
2025-10-17,8720,8726.81,-0.08
2025-10-20,8770,8781.55,-0.13
2025-10-21,8850,8898.07,-0.54
2025-10-22,8905,8946.2,-0.46
2025-10-23,8960,8978.89,-0.21
2025-10-24,8975,8970.93,0.05
2025-10-27,8965,8908.13,0.64
2025-10-28,8990,8960.57,0.33
2025-10-29,8920,8743.27,2.02
2025-10-30,8630,8588.67,0.48
2025-10-31,8550,8551.28,-0.01
2025-11-03,8560,8574.49,-0.17
2025-11-04,8525,8550.52,-0.3
2025-11-05,8610,8609.1,0.01
2025-11-06,8635,8622.39,0.15
2025-11-07,8625,8639.16,-0.16
2025-11-10,8670,8683.15,-0.15
2025-11-11,8720,8747.33,-0.31
2025-11-12,8830,8881.3,-0.58
2025-11-13,8910,8901.83,0.09
2025-11-14,8790,8819.19,-0.33
2025-11-17,8835,8814.4,0.23
2025-11-18,8745,8757.52,-0.14
2025-11-19,8765,8777.63,-0.14
2025-11-20,8765,8737.44,0.32
2025-11-21,8780,8729.05,0.58
2025-11-24,8885,8907.0,-0.25
2025-11-25,8865,8810.31,0.62
2025-11-26,8925,8755.48,1.94
2025-11-27,8825,8792.59,0.37
2025-11-28,8790,8826.52,-0.41
2025-12-01,8805,8854.33,-0.56
2025-12-02,8820,8832.43,-0.14
2025-12-03,8800,8798.4,0.02
2025-12-04,8900,8954.93,-0.61
2025-12-05,8885,8891.68,-0.08
2025-12-08,8870,8867.7,0.03
2025-12-09,8840,8840.48,-0.01
2025-12-10,8850,8832.82,0.19
2025-12-11,8945,8985.15,-0.45
2025-12-12,9020,9042.47,-0.25
2025-12-15,9035,9035.09,-0.0
2025-12-16,9055,9087.74,-0.36
2025-12-17,9010,9016.8,-0.08
2025-12-18,9045,9065.21,-0.22
2025-12-19,8990,9009.51,-0.22
2025-12-22,8990,8976.35,0.15
2025-12-23,9005,9020.12,-0.17
2025-12-24,8915,8780.59,1.53
2025-12-26,8885,8643.81,2.79
2025-12-29,8665,8579.74,0.99
2025-12-30,8710,8636.79,0.85
2026-01-02,8665,8596.17,0.8
2026-01-05,8750,8676.4,0.85
2026-01-06,8740,8731.46,0.1
2026-01-07,8780,8766.84,0.15
2026-01-08,8750,8700.27,0.57
2026-01-09,8875,8924.31,-0.55
2026-01-12,8960,9025.68,-0.73
2026-01-13,9015,9051.19,-0.4
2026-01-14,9035,9101.29,-0.73
2026-01-15,9140,9175.15,-0.38
2026-01-16,9210,9214.85,-0.05
2026-01-19,9140,9186.58,-0.51
2026-01-20,9130,9213.22,-0.9
2026-01-21,9110,9113.17,-0.03
2026-01-22,9235,9248.43,-0.15
2026-01-23,9240,9230.96,0.1
2026-01-26,9085,9052.63,0.36
2026-01-27,9080,9087.4,-0.08
2026-01-28,8940,8816.49,1.4
2026-01-29,8825,8832.38,-0.08
2026-01-30,8890,8970.73,-0.9
2026-02-02,9060,9215.07,-1.68
2026-02-03,9110,9142.67,-0.36
2026-02-04,9205,9244.49,-0.43
2026-02-05,9430,9484.67,-0.58
2026-02-06,9435,9461.29,-0.28
2026-02-09,9535,9525.43,0.1
2026-02-10,9475,9481.46,-0.07
2026-02-11,9465,9434.43,0.32
2026-02-12,9475,9438.41,0.39
2026-02-13,9420,9391.94,0.3
2026-02-19,9495,9443.47,0.55
2026-02-20,9485,9443.8,0.44
2026-02-23,9375,9399.22,-0.26
2026-02-24,9400,9372.05,0.3
2026-02-25,9380,9212.06,1.82
2026-02-26,9155,9154.09,0.01
2026-02-27,9200,9267.01,-0.72
2026-03-03,9415,9519.03,-1.09
2026-03-04,9420,9492.69,-0.77
2026-03-05,9375,9417.31,-0.45
2026-03-06,9395,9399.1,-0.04
2026-03-09,9310,9470.45,-1.69
2026-03-10,9290,9287.89,0.02
2026-03-11,9255,9207.03,0.52
2026-03-12,9295,9303.92,-0.1
2026-03-13,9330,9303.54,0.28
2026-03-16,9400,9350.14,0.53
2026-03-17,9400,9370.75,0.31
2026-03-18,9390,9321.28,0.74
2026-03-19,9340,9305.46,0.37
2026-03-20,9385,9319.13,0.71
2026-03-23,9320,9366.5,-0.5
2026-03-24,9380,9317.36,0.67
2026-03-25,9440,9405.19,0.37
2026-03-26,9460,9488.42,-0.3
2026-03-27,9545,9383.79,1.72
2026-03-30,9410,9405.23,0.05
2026-03-31,9545,9493.95,0.54
2026-04-01,9400,9349.29,0.54
2026-04-02,9345,9362.79,-0.19
2026-04-03,9370,9309.47,0.65
2026-04-06,9310,9316.03,-0.06
2026-04-07,9355,9359.78,-0.05
2026-04-08,9330,9152.29,1.94
2026-04-09,9345,9297.77,0.51
2026-04-10,9355,9336.32,0.2
2026-04-13,9340,9171.29,1.84
2026-04-14,9220,9172.68,0.52
2026-04-15,9140,9108.81,0.34
2026-04-16,9120,9090.36,0.33
2026-04-17,9190,9194.71,-0.05
2026-04-20,9190,9226.27,-0.39
2026-04-21,9210,9188.97,0.23
2026-04-22,9255,9216.44,0.42
2026-04-23,9255,9256.67,-0.02
2026-04-24,9370,9405.39,-0.38
2026-04-27,9315,9283.75,0.34
2026-04-28,9300,9277.47,0.24
2026-04-29,9400,9375.28,0.26
2026-04-30,9425,9443.13,-0.19
2026-05-04,9410,9375.97,0.36
2026-05-06,9320,9282.22,0.41
2026-05-07,9295,9272.35,0.24
2026-05-08,9355,9351.43,0.04
2026-05-11,9365,9375.48,-0.11
2026-05-12,9445,9495.51,-0.53
2026-05-13,9495,9342.45,1.63
