,종가,NAV,괴리율
2025-08-04,29005,29081.02,-0.26
2025-08-05,29345,29085.5,0.89
2025-08-06,28980,29261.01,-0.96
2025-08-07,29770,29314.95,1.55
2025-08-08,30075,29939.6,0.45
2025-08-11,30135,29941.34,0.65
2025-08-12,30090,30074.32,0.05
2025-08-13,30200,30120.41,0.26
2025-08-14,30235,30239.25,-0.01
2025-08-18,30325,30009.58,1.05
2025-08-19,30030,30179.27,-0.49
2025-08-20,29195,29913.31,-2.4
2025-08-21,29315,28966.76,1.2
2025-08-22,29155,29265.15,-0.38
2025-08-25,29580,29203.18,1.29
2025-08-26,29760,29693.31,0.22
2025-08-27,29940,29763.08,0.59
2025-08-28,29590,29840.56,-0.84
2025-08-29,29535,29608.85,-0.25
2025-09-01,29020,29260.61,-0.82
2025-09-02,28970,29154.05,-0.63
2025-09-03,29310,29172.7,0.47
2025-09-04,29450,29360.93,0.3
2025-09-05,29845,29524.37,1.09
2025-09-08,30095,30023.73,0.24
2025-09-09,30720,30351.83,1.21
2025-09-10,31500,31075.35,1.37
2025-09-11,31535,31551.93,-0.05
2025-09-12,32305,32110.08,0.61
2025-09-15,32360,32395.74,-0.11
2025-09-16,32995,32671.96,0.99
2025-09-17,32590,32688.08,-0.3
2025-09-18,33365,33059.85,0.92
2025-09-19,33310,33337.86,-0.08
2025-09-22,33375,33405.92,-0.09
2025-09-23,33860,33775.99,0.25
2025-09-24,33795,34033.33,-0.7
2025-09-25,33910,34042.01,-0.39
2025-09-26,33080,33615.86,-1.59
2025-09-29,33325,33301.11,0.07
2025-09-30,33465,33272.52,0.58
2025-10-01,33960,33779.02,0.54
2025-10-02,34930,34465.12,1.35
2025-10-10,36430,36737.96,-0.84
2025-10-13,36415,36495.85,-0.22
2025-10-14,35695,35954.59,-0.72
2025-10-15,36385,36076.33,0.86
2025-10-16,37120,36883.14,0.64
2025-10-17,37175,37457.38,-0.75
2025-10-20,37600,37461.8,0.37
2025-10-21,37950,37918.3,0.08
2025-10-22,37790,38064.12,-0.72
2025-10-23,37900,37830.04,0.18
2025-10-24,38280,38225.82,0.14
2025-10-27,39120,38730.09,1.01
