,종가,NAV,괴리율
2025-08-05,15280,15240.32,0.26
2025-08-06,15230,15166.22,0.42
2025-08-07,15320,15273.0,0.31
2025-08-08,15295,15262.13,0.22
2025-08-11,15405,15385.23,0.13
2025-08-12,15375,15347.6,0.18
2025-08-13,15515,15517.49,-0.02
2025-08-14,15545,15568.3,-0.15
2025-08-18,15535,15530.99,0.03
2025-08-19,15505,15529.69,-0.16
2025-08-20,15400,15439.41,-0.26
2025-08-21,15405,15399.05,0.04
2025-08-22,15325,15337.97,-0.08
2025-08-25,15565,15568.3,-0.02
2025-08-26,15490,15502.23,-0.08
2025-08-27,15580,15551.96,0.18
2025-08-28,15575,15584.9,-0.06
2025-08-29,15625,15634.27,-0.06
2025-09-01,15505,15534.86,-0.19
2025-09-02,15525,15533.77,-0.06
2025-09-03,15450,15428.35,0.14
2025-09-04,15520,15504.68,0.1
2025-09-05,15680,15634.23,0.29
2025-09-08,15615,15585.88,0.19
2025-09-09,15650,15618.41,0.2
2025-09-10,15710,15659.45,0.32
2025-09-11,15725,15704.87,0.13
2025-09-12,15830,15832.96,-0.02
2025-09-15,15845,15826.6,0.12
2025-09-16,15925,15900.15,0.16
2025-09-17,15880,15877.8,0.01
2025-09-18,15915,15860.94,0.34
2025-09-19,15935,15937.5,-0.02
2025-09-22,15990,16012.87,-0.14
2025-09-23,16090,16083.12,0.04
2025-09-24,16020,15994.17,0.16
2025-09-25,15955,15946.94,0.05
2025-09-26,15895,15851.53,0.27
2025-09-29,15995,15943.92,0.32
2025-09-30,15990,15986.07,0.02
2025-10-01,15965,16046.31,-0.51
2025-10-02,16115,16097.24,0.11
2025-10-10,16185,16162.53,0.14
2025-10-13,15930,15720.19,1.33
2025-10-14,15860,15964.71,-0.66
2025-10-15,16010,15938.44,0.45
2025-10-16,16035,15999.76,0.22
2025-10-17,15795,15900.66,-0.66
2025-10-20,16045,15981.93,0.39
2025-10-21,16140,16151.85,-0.07
2025-10-22,16185,16151.73,0.21
2025-10-23,16085,16067.18,0.11
2025-10-24,16215,16160.11,0.34
2025-10-27,16435,16284.66,0.92
2025-10-28,16475,16485.99,-0.07
2025-10-29,16570,16507.86,0.38
2025-10-30,16495,16504.19,-0.06
2025-10-31,16450,16340.7,0.67
2025-11-03,16400,16383.47,0.1
2025-11-04,16255,16412.0,-0.96
2025-11-05,16215,16217.56,-0.02
2025-11-06,16255,16275.03,-0.12
2025-11-07,16135,16088.31,0.29
2025-11-10,16225,16109.59,0.72
2025-11-11,16350,16361.69,-0.07
2025-11-12,16435,16395.91,0.24
2025-11-13,16455,16405.38,0.3
2025-11-14,16125,16129.61,-0.03
2025-11-17,16190,16122.25,0.42
2025-11-18,15885,15977.83,-0.58
2025-11-19,15840,15847.47,-0.05
2025-11-20,16105,15903.65,1.27
2025-11-21,15695,15657.53,0.24
2025-11-24,15895,15809.45,0.54
2025-11-25,16045,16047.79,-0.02
2025-11-26,16250,16175.81,0.46
2025-11-27,16305,16283.8,0.13
2025-11-28,16365,16285.52,0.49
2025-12-01,16265,16370.87,-0.65
2025-12-02,16265,16283.63,-0.11
2025-12-03,16360,16321.83,0.23
2025-12-04,16385,16368.97,0.1
2025-12-05,16425,16385.9,0.24
2025-12-08,16450,16418.37,0.19
2025-12-09,16375,16362.72,0.08
2025-12-10,16365,16347.13,0.11
2025-12-11,16320,16456.66,-0.83
2025-12-12,16510,16491.41,0.11
2025-12-15,16365,16313.6,0.32
2025-12-16,16210,16289.75,-0.49
2025-12-17,16260,16249.06,0.07
2025-12-18,16095,16056.57,0.24
2025-12-19,16185,16183.55,0.01
2025-12-22,16370,16324.69,0.28
2025-12-23,16415,16430.21,-0.09
2025-12-24,16490,16490.42,-0.0
2025-12-26,16550,16520.9,0.18
2025-12-29,16525,16517.06,0.05
2025-12-30,16470,16458.33,0.07
2026-01-02,16405,16313.22,0.56
2026-01-05,16370,16345.03,0.15
2026-01-06,16480,16448.3,0.19
2026-01-07,16550,16550.26,-0.0
2026-01-08,16435,16491.61,-0.34
2026-01-09,16495,16491.35,0.02
2026-01-12,16505,16601.18,-0.58
2026-01-13,16615,16630.47,-0.09
2026-01-14,16565,16598.26,-0.2
2026-01-15,16535,16507.99,0.16
2026-01-16,16600,16550.94,0.3
2026-01-19,16410,16540.69,-0.79
2026-01-20,16335,16540.94,-1.25
2026-01-21,16255,16198.34,0.35
2026-01-22,16400,16385.5,0.09
2026-01-23,16515,16474.07,0.25
2026-01-26,16460,16478.07,-0.11
2026-01-27,16620,16558.4,0.37
2026-01-28,16690,16609.33,0.49
2026-01-29,16635,16606.63,0.17
2026-01-30,16465,16581.09,-0.7
2026-02-02,16305,16510.5,-1.24
2026-02-03,16635,16598.99,0.22
2026-02-04,16485,16456.71,0.17
2026-02-05,16370,16368.62,0.01
2026-02-06,16155,16163.82,-0.05
2026-02-09,16485,16485.05,-0.0
2026-02-10,16550,16562.97,-0.08
2026-02-11,16540,16510.46,0.18
2026-02-12,16555,16508.03,0.28
2026-02-13,16215,16251.51,-0.22
2026-02-19,16395,16369.65,0.15
2026-02-20,16385,16324.88,0.37
2026-02-23,16320,16436.13,-0.71
2026-02-24,16300,16267.7,0.2
2026-02-25,16400,16371.03,0.18
2026-02-26,16480,16501.12,-0.13
2026-02-27,16350,16411.47,-0.37
