투자자,매도,매수,순매수
금융투자,183743395.0,166319741.0,-17423654.0
보험,3005374.0,7163991.0,4158617.0
투신,60009949.0,58972530.0,-1037419.0
사모,5742455.0,4663761.0,-1078694.0
은행,3135704.0,5722063.0,2586359.0
종금,179822.0,591447.0,411625.0
기금,1365407.0,3055285.0,1689878.0
기타법인,65465433.0,66378700.0,913267.0
개인,124682946.0,129513681.0,4830735.0
외국인,262459210.0,267408496.0,4949286.0
